Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Depreciation & Amortization,-42000.0,139000.0,151000.0,
Stock-based compensation,2000.0,2000.0,2000.0,
Operating Cash Flow,1333000.0,1333000.0,1600000.0,1452249.0
Capital Expenditure,21000.0,-21000.0,-53000.0,-70910.0
Acquisitions and disposals,-0.0,0.0,0.0,
Investment purchases and sales,-4972000.0,-269000.0,-4282000.0,
Investing Cash flow,73000.0,73000.0,-4148000.0,-3316743.0
Issuance (repayment) of debt,-0.0,0.0,0.0,0.0
Issuance (buybacks) of shares,-12700000.0,0.0,0.0,0.0
Dividend payments,-26000.0,0.0,0.0,-67000.0
Financing Cash Flow,-2253000.0,-2253000.0,-6160000.0,-12136807.0
Effect of forex changes on cash,0.0,0.0,0.0,
Net cash flow / Change in cash,-847000.0,-847000.0,-8708000.0,
Free Cash Flow,1312000.0,1312000.0,1547000.0,
Net Cash/Marketcap,0.0,1.1095,1.1095,
