Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,70667000.0,72695000.0,73390000.0,73329000.0,70206000.0,67974000.0,58686000.0,49897000.0,37872000.0,38365000.0
Stock-based compensation,37616000.0,29145000.0,25832000.0,25489000.0,25759000.0,28992000.0,27796000.0,23219000.0,18795000.0,21749000.0
Operating Cash Flow,274580000.0,224442000.0,195840000.0,162637000.0,195110000.0,169479000.0,132516000.0,169899000.0,145058000.0,135651000.0
Capital Expenditure,34659000.0,30256000.0,44425000.0,33987000.0,44944000.0,47796000.0,89073000.0,54830000.0,28397000.0,-33430000.0
Acquisitions and disposals,-5534000.0,-0.0,-549000.0,-125612000.0,-0.0,-0.0,-25481000.0,-73558000.0,-4218000.0,0.0
Investment purchases and sales,-313726000.0,-87735000.0,-44732000.0,-111318000.0,-123849000.0,-70354000.0,-188098000.0,-257449000.0,-168553000.0,-73883000.0
Investing Cash flow,-209996000.0,-122410000.0,-70503000.0,-78392000.0,-107573000.0,-57844000.0,-77827000.0,-236833000.0,-96544000.0,-111915000.0
Issuance (repayment) of debt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
Issuance (buybacks) of shares,31601000.0,29094000.0,23272000.0,-47470000.0,-242755000.0,-190944000.0,-131094000.0,32905000.0,9990000.0,-12913000.0
Dividend payments,-121537000.0,-109551000.0,-102897000.0,-97643000.0,-76287000.0,-69776000.0,-68401000.0,-47961000.0,-40618000.0,-37308000.0
Financing Cash Flow,-90843000.0,-106299000.0,-91183000.0,-107146000.0,-43770000.0,-43368000.0,-35301000.0,-9905000.0,-30532000.0,-51671000.0
Effect of forex changes on cash,-4519000.0,9148000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-30778000.0,4881000.0,34154000.0,-22901000.0,43767000.0,68267000.0,19388000.0,-76839000.0,17982000.0,-27935000.0
Free Cash Flow,239921000.0,194186000.0,151415000.0,128650000.0,150166000.0,121683000.0,43443000.0,115069000.0,116661000.0,102221000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1261
