Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,85257000.0,101600000.0,69308000.0,52499000.0,61135000.0,95390000.0,139855000.0,338600000.0,261900000.0,256200000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,85257000.0,101600000.0,69308000.0,52499000.0,61135000.0,95390000.0,139855000.0,338600000.0,261900000.0,256200000.0
Receivables,20817000.0,17468000.0,20793000.0,114105000.0,180887000.0,153425000.0,149291000.0,464500000.0,425900000.0,315000000.0
Inventories,31209000.0,30015000.0,28927000.0,165016000.0,190382000.0,184445000.0,169440000.0,470300000.0,447400000.0,336700000.0
Total current assets,164174000.0,176988000.0,381732000.0,361434000.0,447147000.0,461290000.0,486842000.0,1375100000.0,1214200000.0,990900000.0
Property Plant & Equipment Net,124554000.0,120068000.0,115106000.0,132539000.0,159644000.0,219256000.0,182985000.0,254300000.0,270400000.0,303200000.0
Goodwill and Intangible Assets,40516000.0,43554000.0,45678000.0,63096000.0,67074000.0,59685000.0,69752000.0,57900000.0,60000000.0,63500000.0
Long-term investments,0.0,0.0,31054000.0,24643000.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,5962000.0,10876000.0,42013000.0,34372000.0,15047000.0,15335000.0,3500000.0,27100000.0,35200000.0
Total non-current assets,212817000.0,212564000.0,286289000.0,293974000.0,323373000.0,348666000.0,289464000.0,426300000.0,444100000.0,497800000.0
Total assets,376991000.0,389552000.0,668021000.0,655408000.0,770520000.0,809956000.0,776306000.0,1801400000.0,1658300000.0,1488700000.0
Payables,7746000.0,7575000.0,10560000.0,100300000.0,133668000.0,133016000.0,127469000.0,412500000.0,414500000.0,271700000.0
Short-term debt,654000.0,1125000.0,1744000.0,9869000.0,56467000.0,31319000.0,42249000.0,178100000.0,36200000.0,31900000.0
Total current liabilities,42248000.0,53976000.0,221828000.0,191746000.0,254681000.0,238119000.0,227169000.0,891200000.0,663500000.0,479300000.0
Long-term debt,6367000.0,42021000.0,94295000.0,160113000.0,191431000.0,152431000.0,135448000.0,129100000.0,355300000.0,0.0
Total debt,7021000.0,43146000.0,96039000.0,169982000.0,247898000.0,183750000.0,177697000.0,307200000.0,391500000.0,31900000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11200000.0,11200000.0,12500000.0
Tax Liabilities,0.0,0.0,0.0,0.0,4015000.0,33663000.0,29401000.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,24794000.0,60319000.0,225900000.0,262524000.0,304365000.0,274057000.0,267806000.0,252200000.0,546600000.0,612300000.0
Total liabilities,126287000.0,170104000.0,447728000.0,454270000.0,559046000.0,512176000.0,494975000.0,1225200000.0,1210100000.0,1091600000.0
Other comprehensive income,13962999,11298999,-25927000.0,-23444000.0,-20189000.0,-12259000.0,-21861000.0,0.0,-59000000.0,-41100000.0
Retained earnings (deficit),250352000.0,216490000.0,239441000.0,217745000.0,224428000.0,302168000.0,270227000.0,619700000.0,475400000.0,413300000.0
Total shareholders equity,250704000.0,219448000.0,220293000.0,201138000.0,211474000.0,297780000.0,281331000.0,576200000.0,447400000.0,396600000.0
Investments,0.0,0.0,31054000.0,24643000.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,-78236000.0,-58454000.0,26731000.0,117483000.0,186763000.0,88360000.0,37842000.0,-31400000.0,129600000.0,-224300000.0
Other Assets,0.0,0.0,262704000.0,29814000.0,14743000.0,28030000.0,28256000.0,0.0,79000000.0,83000000.0
Other Liabilities,59245000.0,55809000.0,209524000.0,81577000.0,64546000.0,73784000.0,57451000.0,81800000.0,212800000.0,175700000.0
