Date,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30,2009-09-30
Cash and cash equivalents,30443000.0,27920000.0,23508000.0,21694000.0,24642000.0,24465000.0,19985000.0,7934000.0,6698000.0,6698000.0,6493000.0
Short-term investments,6302000.0,1084000.0,7102000.0,0.0,0.0,0.0,428000.0,696000.0,454000.0,737000.0,
Cash and short-term investments,36745000.0,29004000.0,30610000.0,21694000.0,24642000.0,24465000.0,20413000.0,8630000.0,7152000.0,6127000.0,
Receivables,5672000.0,4265000.0,5180000.0,5430000.0,3709000.0,3998000.0,427000.0,147000.0,233000.0,3013000.0,5242000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,42417000.0,33269000.0,35790000.0,27124000.0,28351000.0,28463000.0,28144000.0,14359000.0,12065000.0,12634000.0,
Property Plant & Equipment Net,5067000.0,2671000.0,2397000.0,1164000.0,712000.0,752000.0,447000.0,662000.0,974000.0,974000.0,1163000.0
Goodwill and Intangible Assets,10594000.0,9883000.0,10060000.0,12235000.0,13862000.0,14126000.0,0.0,466000.0,1087000.0,1087000.0,2329000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051000.0,500000.0,
Tax assets,4560000.0,4192000.0,6420000.0,8958000.0,11662000.0,11925000.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,38790000.0,35180000.0,28608000.0,33422000.0,35031000.0,36330000.0,1367000.0,2230000.0,4296000.0,,
Total assets,81207000.0,68449000.0,64398000.0,60546000.0,63382000.0,64793000.0,29511000.0,16589000.0,16361000.0,16361000.0,21642000.0
Payables,10263000.0,8019000.0,8715000.0,7166000.0,6602000.0,5636000.0,13494000.0,11297000.0,10754000.0,10893000.0,14461000.0
Short-term debt,0.0,509000.0,0.0,287000.0,0.0,0.0,108000.0,1000000.0,5753000.0,500000.0,
Total current liabilities,10263000.0,8528000.0,8715000.0,7453000.0,6602000.0,6368000.0,13740000.0,19217000.0,16507000.0,16100000.0,
Long-term debt,0.0,509000.0,0.0,287000.0,0.0,0.0,108000.0,6800000.0,0.0,6108000.0,
Total debt,0.0,1018000.0,0.0,574000.0,0.0,0.0,216000.0,7800000.0,5753000.0,5853000.0,6314000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,138000.0,251000.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,732000.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,4560000.0,4701000.0,6420000.0,9245000.0,11662000.0,11925000.0,192000.0,6800000.0,0.0,,
Total liabilities,31369000.0,21514000.0,25510000.0,34788000.0,18135000.0,20276000.0,13729000.0,19498000.0,17858000.0,17826000.0,21498000.0
Other comprehensive income,90354000,86510000,66955000,66353000,80282000,77596000,67982000,52340000,51222000,0.0,0.0
Retained earnings (deficit),-40779000.0,-39825000.0,-28315000.0,-40843000.0,-35284000.0,-35569000.0,-54212000.0,-55780000.0,-53128000.0,-53128000.0,-41394000.0
Total shareholders equity,49838000.0,46935000.0,38888000.0,25758000.0,45247000.0,44517000.0,15782000.0,-2909000.0,-1497000.0,-1497000.0,144000.0
Investments,6302000.0,1084000.0,7102000.0,0.0,0.0,0.0,428000.0,696000.0,1505000.0,1529000.0,1191000.0
Net Debt,-30443000.0,-26902000.0,-23508000.0,-21120000.0,-24642000.0,-24465000.0,-19769000.0,-134000.0,-945000.0,,
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Other Liabilities,16546000.0,8285000.0,10375000.0,18090000.0,-129000.0,1983000.0,-203000.0,-6519000.0,1351000.0,4352000.0,
