Date,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,11296000000.0,11458000000.0,10551000000.0,9888000000.0,10511000000.0,11624000000.0,11245000000.0,11040000000.0,11172000000.0,9516000000.0,7969000000.0
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2525
Cost of Revenue,3816000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2769000000.0
Gross Profit,7480000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200000000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,2751000000.0,2925000000.0,2915000000.0,2743000000.0,2911000000.0,2897000000.0,3002000000.0,2960000000.0,2974000000.0,0.0,2401000000.0
Operating Expenses,3491000000.0,7499000000.0,6965000000.0,6814000000.0,7627000000.0,8049000000.0,7988000000.0,7916000000.0,7959000000.0,0.0,3238000000.0
Operating Income,3989000000.0,3959000000.0,3586000000.0,3074000000.0,2884000000.0,3575000000.0,3257000000.0,3124000000.0,3213000000.0,2676000000.0,1962000000.0
Interest Expense,604000000.0,557000000.0,550000000.0,563000000.0,545000000.0,545000000.0,525000000.0,495000000.0,455000000.0,462000000.0,467000000.0
Earnings before Tax,3491000000.0,3469000000.0,3128000000.0,2582000000.0,2442000000.0,3134000000.0,2965000000.0,1666000000.0,1695000000.0,1544000000.0,1622000000.0
Income Tax Expense,769000000.0,803000000.0,-2276000000.0,914000000.0,886000000.0,1134000000.0,1055000000.0,1009000000.0,1002000000.0,871000000.0,588000000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,2722000000.0,2666000000.0,5404000000.0,1668000000.0,1556000000.0,2000000000.0,1910000000.0,1749000000.0,1916000000.0,1496000000.0,1034000000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,2722000000.0,2666000000.0,5404000000.0,1668000000.0,1556000000.0,2000000000.0,1910000000.0,1749000000.0,1916000000.0,1496000000.0,1034000000.0
EPS,10.32,9.58,18.76,5.66,5.13,6.44,6.1,5.42,5.52,4.06,2.79
EPS Diluted,10.25,9.51,18.61,5.62,5.1,6.39,6.04,5.37,5.45,4.0,2.76
Weighted Average Shs Out,263300000.0,277700000.0,287900000.0,293900000.0,301900000.0,309400000.0,311900000.0,320900000.0,345500000.0,366500000.0,367893915.0
Weighted Average Shs Out (Dil),265600000.0,280200000.0,290300000.0,296000000.0,304400000.0,312500000.0,315500000.0,325200000.0,351300000.0,371800000.0,367893915.0
Dividend per Share,3.57304216867,3.01213418986,2.42163279366,2.34797297297,2.34231274639,2.1984,0.0,0.0,1.63962425278,1.38246369016,1.36
Gross Margin,0.662181303116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6525
EBITDA Margin,0.453966005666,0.441874672718,0.44024263103,0.415048543689,0.375130815336,0.389796971783,0.289639839929,0.282971014493,0.365377730039,0.281210592686,0.368
EBIT Margin,0.353133852691,0.345522778844,0.33987299782,0.310881877023,0.274379221768,0.307553337922,0.289639839929,0.282971014493,0.287593984962,0.281210592686,0.2621
Profit Margin,0.240970254958,0.232675859661,0.512178940385,0.168689320388,0.148035391495,0.172057811425,0.169853268119,0.158423913043,0.171500179019,0.157208911307,0.13
Free Cash Flow margin,0.165810906516,0.154913597486,0.145009951663,0.115999190939,0.0468081057939,0.0631452167928,0.0,0.0,0.0955066237021,0.0,0.0809
EBITDA,5128000000.0,5063000000.0,4645000000.0,4104000000.0,3943000000.0,4531000000.0,3257000000.0,3124000000.0,4082000000.0,2676000000.0,2934000000.0
EBIT,3989000000.0,3959000000.0,3586000000.0,3074000000.0,2884000000.0,3575000000.0,3257000000.0,3124000000.0,3213000000.0,2676000000.0,2089000000.0
Consolidated Income,2722000000.0,2666000000.0,5404000000.0,1668000000.0,1556000000.0,2000000000.0,1910000000.0,1749000000.0,1916000000.0,1496000000.0,1034000000.0
Earnings Before Tax Margin,0.309047450425,0.302757898412,0.296464790067,0.261124595469,0.232328037294,0.269614590502,0.263672743442,0.150905797101,0.15171858217,0.162253047499,0.2035
Net Profit Margin,0.240970254958,0.232675859661,0.512178940385,0.168689320388,0.148035391495,0.172057811425,0.169853268119,0.158423913043,0.171500179019,0.157208911307,0.1298
