Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Cash and cash equivalents,22241000.0,24654000.0,9623000.0,6191000.0,12620000.0,9772000.0,16186000.0,47594000.0
Short-term investments,59083000.0,47568000.0,23873000.0,9317000.0,16627000.0,16551000.0,3205000.0,10013000.0
Cash and short-term investments,81324000.0,72222000.0,33496000.0,15508000.0,29247000.0,26323000.0,19391000.0,57607000.0
Receivables,207000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventories,47755000.0,44266000.0,38504000.0,30530000.0,26899000.0,26088000.0,23637000.0,31514000.0
Total current assets,160841000.0,152558000.0,101286000.0,76882000.0,76498000.0,69281000.0,66175000.0,116901000.0
Property Plant & Equipment Net,28129000.0,31549000.0,32643000.0,30849000.0,26851000.0,26029000.0,28003000.0,29771000.0
Goodwill and Intangible Assets,12084000.0,13084000.0,14084000.0,15084000.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,2039000.0,3202000.0,5298000.0,6107000.0,5461000.0,931000.0,2969000.0,1584000.0
Total non-current assets,43396000.0,48985000.0,52954000.0,53011000.0,33394000.0,33503000.0,32231000.0,33453000.0
Total assets,204237000.0,201543000.0,154240000.0,129893000.0,109892000.0,102784000.0,98406000.0,150354000.0
Payables,36373000.0,34816000.0,33106000.0,38381000.0,34261000.0,29117000.0,23192000.0,32581000.0
Short-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current liabilities,55396000.0,64104000.0,57839000.0,57681000.0,51667000.0,47509000.0,34772000.0,40662000.0
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000000.0
Total debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000000.0
Deferred revenue,8407000.0,7991000.0,7482000.0,5618000.0,4424000.0,4228000.0,3343000.0,2916000.0
Tax Liabilities,1203000.0,0.0,228000.0,0.0,301000.0,311000.0,1474000.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,2325000.0,1636000.0,1877000.0,2284000.0,3761000.0,4049000.0,6494000.0,36318000.0
Total liabilities,57721000.0,65740000.0,59716000.0,59965000.0,54377000.0,50627000.0,38297000.0,75396000.0
Other comprehensive income,33905000,52886000,45728000,35720000,26930000,22509000,17830000,10091000
Retained earnings (deficit),112611000.0,83035000.0,48799000.0,34191000.0,28552000.0,29611000.0,42254000.0,64931000.0
Total shareholders equity,146516000.0,135803000.0,94524000.0,69928000.0,55515000.0,52157000.0,60109000.0,74958000.0
Investments,59083000.0,47568000.0,23873000.0,9317000.0,16627000.0,16551000.0,3205000.0,10013000.0
Net Debt,-22241000.0,-24654000.0,-9623000.0,-6191000.0,-12620000.0,-9772000.0,-16186000.0,-17594000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
