Date,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30
Revenue,67819183.0,60930258.0,65366268.0,64550193.0,51048578.0,36384803.0,50797161.0,39775524.0,36547574.0,36779897.0,26448177.0
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00631657560106816,0.390640156408512,-0.2782
Cost of Revenue,33373532.0,31723341.0,36958332.0,33748607.0,33021364.0,27720340.0,22953933.0,18278023.0,14804126.0,13867048.0,17198334.0
Gross Profit,34445651.0,29206917.0,28407936.0,30801586.0,18027214.0,8664463.0,27843228.0,21497501.0,21743448.0,22912849.0,9249843.0
R&D Expenses,1971228.0,853996.0,393345.0,485783.0,314892.0,249712.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,24748711.0,23874543.0,26493779.0,22788932.0,20871171.0,19618436.0,8219124.0,7810219.0,10084094.0,9364774.0,10149391.0
Operating Expenses,27617739.0,26152006.0,29409150.0,24499885.0,23193020.0,21754296.0,16176130.0,14232919.0,12437596.0,12317557.0,15733012.0
Operating Income,6827912.0,3054911.0,-1001214.0,6301701.0,-5165806.0,-13089833.0,12553481.0,6704655.0,9305852.0,10595292.0,-6483169.0
Interest Expense,311798.0,422327.0,310044.0,264511.0,166962.0,255677.0,664025.0,823684.0,863707.0,1478474.0,1294293.0
Earnings before Tax,13075324.0,8023005.0,-804485.0,5709687.0,-4835674.0,-13758192.0,12553481.0,6704655.0,5848630.0,1448063.0,-7955916.0
Income Tax Expense,1057784.0,873027.0,931951.0,652546.0,413498.0,338282.0,465426.0,55384.0,120542.0,53943.0,91132.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3974882.0,4892097.0,1816143.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,8583399.0,4306888.0,-4978030.0,3402761.0,-5548818.0,-11356047.0,7863143.0,2446545.0,5728088.0,1394120.0,-8047048.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,8583399.0,4306888.0,-4978030.0,3402761.0,-5548818.0,-11356047.0,7863143.0,2446545.0,5728088.0,1394120.0,-8047048.0
EPS,0.74,0.38,-0.46,0.33,-0.57,-1.25,0.96,0.39,1.18,0.4,-3.0
EPS Diluted,0.74,0.38,-0.46,0.32,-0.57,-1.25,0.95,0.39,1.16,0.4,-3.0
Weighted Average Shs Out,11599290.0,11197319.0,10912284.0,10391157.0,9728122.0,9063345.0,8201247.0,6217842.0,5535328.0,3627938.0,2693750.0
Weighted Average Shs Out (Dil),11621990.0,11197319.0,10912284.0,10584835.0,9728122.0,9063345.0,8288951.0,6244185.0,4854320.0,3451643.0,2703109.0
Dividend per Share,0.0487407922395,0.0373172363849,0.197600520661,0.0948387953142,0.0829488980504,0.111277127815,0.0469295813186,0.0547160277923,0.0,0.0,0.0
Gross Margin,0.507904245912,0.479349964348,0.434596266074,0.477172639902,0.35313841651,0.238134118797,0.548125671826,0.540470591915,0.5949,0.623,0.3497
EBITDA Margin,0.16590540467,0.141610839724,0.0850762965388,0.20842447365,0.101432952746,-0.119805430855,0.371912753156,0.285266939538,0.301,0.186,-0.094
EBIT Margin,0.100678181275,0.0501378313547,-0.0153169827594,0.0976248204246,-0.101193925519,-0.35976099692,0.247129578757,0.168562329939,0.1837,0.0796,-0.2519
Profit Margin,0.126562996195,0.070685536897,-0.0761559463667,0.0527149624479,-0.108696818156,-0.312109618953,0.15479493037,0.0615088062699,0.157,0.038,-0.304
Free Cash Flow margin,0.0325372837358,0.217705840011,-0.0267544416028,-0.0259780013361,0.0297671367065,0.148379695776,0.0962050418526,0.0804613661406,0.1409,0.172,-0.0301
EBITDA,11251569.0,8628385.0,5561120.0,13453840.0,5178008.0,-4359097.0,18892112.0,11346642.0,11000849.0,6834482.0,-2473415.0
EBIT,6827912.0,3054911.0,-1001214.0,6301701.0,-5165806.0,-13089833.0,12553481.0,6704655.0,6712337.0,2926537.0,-6661623.0
Consolidated Income,8583399.0,4306888.0,-4978030.0,3402761.0,-5548818.0,-11356047.0,7863143.0,2446545.0,9702970.0,6286217.0,-6230905.0
Earnings Before Tax Margin,0.192796837438,0.131675217919,-0.0123073417623,0.0884534458325,-0.0947269089454,-0.378130177041,0.247129578757,0.168562329939,0.16,0.0394,-0.3008
Net Profit Margin,0.126562996195,0.070685536897,-0.0761559463667,0.0527149624479,-0.108696818156,-0.312109618953,0.15479493037,0.0615088062699,0.1567,0.0379,-0.3043
