Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,18348000.0,16697000.0,17174000.0,10010000.0,12376000.0,7863000.0,12295000.0,21423000.0,16625000.0,17355000.0
Short-term investments,243277000.0,281121000.0,302564000.0,138851000.0,156395000.0,158132000.0,145390000.0,150263000.0,,
Cash and short-term investments,261625000.0,297818000.0,319738000.0,148861000.0,168771000.0,165995000.0,157685000.0,171686000.0,,
Receivables,3776000.0,3716000.0,3643000.0,2363000.0,2339000.0,2422000.0,2393000.0,2468000.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,265401000.0,301534000.0,323381000.0,151224000.0,171110000.0,168417000.0,160078000.0,174154000.0,,
Property Plant & Equipment Net,13846000.0,13864000.0,13531000.0,6472000.0,6734000.0,7125000.0,7326000.0,7479000.0,4904000.0,5189000.0
Goodwill and Intangible Assets,11667000.0,11793000.0,11943000.0,10000000.0,10104000.0,10225000.0,10362000.0,9715000.0,13000.0,0.0
Long-term investments,309000.0,485000.0,2274000.0,266000.0,4295000.0,335000.0,319000.0,12449000.0,,
Tax assets,5424000.0,4781000.0,8989000.0,3669000.0,3285000.0,4819000.0,2179000.0,0.0,0.0,0.0
Total non-current assets,919158000.0,831382000.0,787802000.0,599281000.0,540525000.0,542817000.0,512221000.0,494660000.0,,
Total assets,1184559000.0,1132916000.0,1111183000.0,750505000.0,711635000.0,711234000.0,672299000.0,668814000.0,537005000.0,529696000.0
Payables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short-term debt,53046000.0,42530000.0,32811000.0,53235000.0,25695000.0,49914000.0,28697000.0,21794000.0,,
Total current liabilities,53046000.0,42530000.0,32811000.0,53235000.0,25695000.0,49914000.0,28697000.0,21794000.0,,
Long-term debt,67873000.0,54188000.0,32001000.0,60798000.0,22089000.0,36874000.0,0.0,0.0,,
Total debt,120919000.0,96718000.0,64812000.0,114033000.0,47784000.0,86788000.0,28697000.0,21794000.0,71309000.0,68803000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,946780000.0,929384000.0,925385000.0,550909000.0,559944000.0,541182000.0,524425000.0,525767000.0,393865000.0,391473000.0
Total non-current liabilities,68646000.0,58969000.0,40990000.0,64467000.0,25374000.0,41693000.0,1990000.0,0.0,,
Total liabilities,1062274000.0,1017177000.0,1000104000.0,649507000.0,612594000.0,619370000.0,579878000.0,580753000.0,469307000.0,465225000.0
Other comprehensive income,48241000,47354000,47557000,34725000,34129000,33297000,22545000,22101000,1137000.0,2090000.0
Retained earnings (deficit),78434000.0,70426000.0,67225000.0,65412000.0,64078000.0,60798000.0,66742000.0,62308000.0,58648000.0,54455000.0
Total shareholders equity,122285000.0,115739000.0,111079000.0,100998000.0,99041000.0,91864000.0,92421000.0,88061000.0,67698000.0,64471000.0
Investments,243586000.0,281606000.0,304838000.0,139117000.0,160690000.0,158467000.0,145709000.0,162712000.0,500585000.0,492844000.0
Net Debt,102571000.0,80021000.0,47638000.0,104023000.0,35408000.0,78925000.0,16402000.0,371000.0,,
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Other Liabilities,940582000.0,915678000.0,926303000.0,531805000.0,561525000.0,527763000.0,549191000.0,558959000.0,,
