Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,145115000.0,115652000.0,87680000.0,43416000.0,131912000.0,40028000.0,68999000.0,7546000.0,23658000.0,12752000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
Cash and short-term investments,145115000.0,115652000.0,87680000.0,43416000.0,131912000.0,40028000.0,69099000.0,7546000.0,23658000.0,12752000.0
Receivables,547285000.0,562943000.0,218058000.0,192991000.0,127878000.0,109430000.0,74553000.0,71279000.0,63501000.0,62860000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,767075000.0,1056218000.0,363217000.0,260028000.0,317664000.0,201166000.0,163326000.0,96849000.0,107216000.0,92886000.0
Property Plant & Equipment Net,731538000.0,734138000.0,276153000.0,266583000.0,237739000.0,212259000.0,180162000.0,146613000.0,137036000.0,144281000.0
Goodwill and Intangible Assets,3659877000.0,3724472000.0,798041000.0,766023000.0,450620000.0,360587000.0,148409000.0,194094000.0,350789000.0,373463000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,103068000.0,108159000.0,0.0,0.0,41737000.0,30898000.0,72090000.0,0.0,0.0,606000.0
Total non-current assets,6294955000.0,6425429000.0,2602868000.0,1575106000.0,1144561000.0,962556000.0,782489000.0,498185000.0,495320000.0,526940000.0
Total assets,7062030000.0,7481647000.0,2966085000.0,1835134000.0,1462225000.0,1163722000.0,945815000.0,595034000.0,602536000.0,619826000.0
Payables,67828000.0,31136000.0,19754000.0,25936000.0,16282000.0,10250000.0,12324000.0,9175000.0,36546000.0,35728000.0
Short-term debt,96093000.0,92808000.0,28093000.0,22139000.0,15840000.0,6857000.0,2175000.0,1500000.0,1000000.0,7085000.0
Total current liabilities,404172000.0,670703000.0,189578000.0,146061000.0,97266000.0,83922000.0,58003000.0,57230000.0,53594000.0,56011000.0
Long-term debt,3884910000.0,4269652000.0,2314326000.0,1454075000.0,1220304000.0,1064262000.0,855467000.0,638861000.0,642100000.0,663289000.0
Total debt,3981003000.0,4362460000.0,2342419000.0,1476214000.0,1236144000.0,1071119000.0,857642000.0,640361000.0,643100000.0,670374000.0
Deferred revenue,8700000.0,0.0,0.0,0.0,0.0,0.0,2276000.0,2196000.0,3692000.0,9423000.0
Tax Liabilities,12542000.0,23258000.0,3700000.0,75000.0,4899000.0,649000.0,983000.0,402000.0,36610000.0,38796000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,4796974000.0,5229634000.0,2492153000.0,1602700000.0,1298404000.0,1168982000.0,872721000.0,687700000.0,724107000.0,740078000.0
Total liabilities,5209256000.0,5911033000.0,2796944000.0,1754460000.0,1409688000.0,1176953000.0,942861000.0,778438000.0,777701000.0,796089000.0
Other comprehensive income,1246246000,1264478000,345408000,348478000,398029000,396817000,410514000,406788000,0.0,0.0
Retained earnings (deficit),620371000.0,299523000.0,-176583000.0,-268120000.0,-345804000.0,-410354000.0,-407854000.0,-590346000.0,-578455000.0,-576640000.0
Total shareholders equity,1852774000.0,1570614000.0,169141000.0,80674000.0,52537000.0,-13231000.0,2954000.0,-183404000.0,-175165000.0,-176263000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
Net Debt,3835888000.0,4246808000.0,2254739000.0,1432798000.0,1104232000.0,1031091000.0,788643000.0,632815000.0,619442000.0,657622000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20057000.0,17274000.0
Other Liabilities,8110000.0,10696000.0,115213000.0,5699000.0,14018000.0,0.0,12137000.0,33508000.0,16048000.0,13198000.0
