Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Depreciation & Amortization,117842.0,36019.0,-267528.0,341787.0,184160.0
Stock-based compensation,28888.0,0.0,3751.0,74231.0,65975.0
Operating Cash Flow,3482708.0,2939153.0,2362650.0,2560833.0,2198021.0
Capital Expenditure,196754.0,72840.0,24352.0,-243606.0,-13915.0
Acquisitions and disposals,-0.0,-0.0,-0.0,0.0,2031791.0
Investment purchases and sales,-1639487.0,-253932.0,0.0,6982006.0,4911017.0
Investing Cash flow,-34082366.0,-28578559.0,-18964991.0,8097910.0,7535404.0
Issuance (repayment) of debt,-0.0,-0.0,-0.0,-3322148.0,2000000.0
Issuance (buybacks) of shares,-1639487.0,-253932.0,16391220.0,0.0,0.0
Dividend payments,-856036.0,-523426.0,22337869.0,0.0,0.0
Financing Cash Flow,35274299.0,23448574.0,15413271.0,-8716259.0,-11146030.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,4674641.0,-2190832.0,-1189070.0,1942484.0,-1412605.0
Free Cash Flow,3285954.0,2866313.0,2338298.0,2317227.0,2184106.0
Net Cash/Marketcap,0.0,0.0,0.0,-0.0037,-0.0037
