Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,71180000.0,74573000.0,40166000.0,45530000.0,30977000.0,28344000.0,45651000.0,51630000.0,59751000.0,15670000.0
Short-term investments,2065000.0,1820000.0,1670000.0,1715000.0,980000.0,84068000.0,94965000.0,85670000.0,,
Cash and short-term investments,73245000.0,76393000.0,41836000.0,47245000.0,31957000.0,112412000.0,140616000.0,137300000.0,,
Receivables,2638000.0,2503000.0,2315000.0,1819000.0,1806000.0,1901000.0,2057000.0,2872000.0,2704000.0,2896000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,75883000.0,78896000.0,44151000.0,49064000.0,33763000.0,114313000.0,142673000.0,140172000.0,,
Property Plant & Equipment Net,14855000.0,13281000.0,12783000.0,10404000.0,9195000.0,9005000.0,8680000.0,9216000.0,9738000.0,10132000.0
Goodwill and Intangible Assets,7750000.0,7885000.0,8471000.0,1267000.0,1267000.0,1267000.0,1267000.0,1267000.0,1267000.0,1267000.0
Long-term investments,57374000.0,61909000.0,27654000.0,36055000.0,91991000.0,23018000.0,87950000.0,0.0,,
Tax assets,3288000.0,3000000.0,4965000.0,2984000.0,3237000.0,3087000.0,2531000.0,0.0,0.0,0.0
Total non-current assets,954610000.0,947394000.0,910489000.0,747221000.0,744905000.0,633055000.0,626550000.0,664005000.0,,
Total assets,1030493000.0,1026290000.0,954640000.0,796285000.0,778668000.0,747368000.0,769223000.0,804177000.0,851514000.0,811988000.0
Payables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short-term debt,8500000.0,8500000.0,8500000.0,8500000.0,8500000.0,8500000.0,13500000.0,13500000.0,,
Total current liabilities,8500000.0,8500000.0,8500000.0,8500000.0,8500000.0,8500000.0,13500000.0,13500000.0,,
Long-term debt,6279000.0,7324000.0,7882000.0,3918000.0,3791000.0,3529000.0,3526000.0,0.0,,
Total debt,14779000.0,15824000.0,16382000.0,12418000.0,12291000.0,12029000.0,17026000.0,13500000.0,79350000.0,87850000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,846704000.0,856724000.0,790452000.0,660746000.0,646830000.0,628877000.0,655064000.0,687886000.0,694781000.0,647644000.0
Total non-current liabilities,9567000.0,10324000.0,12847000.0,6902000.0,7028000.0,6616000.0,6057000.0,0.0,,
Total liabilities,912619000.0,916929000.0,850112000.0,705815000.0,692452000.0,666949000.0,693403000.0,732334000.0,783386000.0,745467000.0
Other comprehensive income,33765000,32183000,31076000,19606000,19606000,19171000,18397000,17761000,217000.0,674000.0
Retained earnings (deficit),80844000.0,72694000.0,69117000.0,65782000.0,60873000.0,56241000.0,51094000.0,48435000.0,45960000.0,44211000.0
Total shareholders equity,117874000.0,109361000.0,104528000.0,90470000.0,86216000.0,80419000.0,75820000.0,71843000.0,68128000.0,66521000.0
Investments,59439000.0,63729000.0,29324000.0,37770000.0,92971000.0,107086000.0,182915000.0,85670000.0,746234000.0,749896000.0
Net Debt,-56401000.0,-58749000.0,-23784000.0,-33112000.0,-18686000.0,-16315000.0,-28625000.0,-38130000.0,,
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Other Liabilities,894552000.0,898105000.0,828765000.0,690413000.0,676924000.0,651833000.0,673846000.0,718834000.0,,
