Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,60937000.0,33541000.0,24362000.0,17265000.0,10798000.0,7727000.0,6961000.0,6710000.0,4970000.0,5271000.0
Stock-based compensation,13981000.0,10411000.0,6470000.0,4666000.0,3282000.0,1312000.0,802000.0,333000.0,436000.0,348000.0
Operating Cash Flow,200013000.0,99901000.0,97147000.0,65630000.0,45741000.0,22431000.0,20997000.0,11815000.0,7887000.0,3912000.0
Capital Expenditure,34486000.0,22497000.0,15406000.0,7958000.0,6542000.0,8669000.0,7895000.0,2436000.0,7060000.0,1388000.0
Acquisitions and disposals,-343347000.0,-251851000.0,-138844000.0,-140176000.0,-72094000.0,-16511000.0,-29262000.0,-7314000.0,-5776000.0,11824000.0
Investment purchases and sales,-107567000.0,0.0,-5214000.0,-22637000.0,-13928000.0,-6078000.0,0.0,0.0,0.0,0.0
Investing Cash flow,-371370000.0,-273137000.0,-153998000.0,-147387000.0,-78621000.0,-24256000.0,-37222000.0,-9740000.0,1187000.0,13225000.0
Issuance (repayment) of debt,-7632000.0,-997000.0,-417000.0,-1979000.0,-106000.0,-101000.0,-257000.0,-2568000.0,-6757000.0,-19183000.0
Issuance (buybacks) of shares,-107567000.0,93306000.0,-5214000.0,-22637000.0,-13928000.0,-6078000.0,-434000.0,-550000.0,0.0,0.0
Dividend payments,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
Financing Cash Flow,175485000.0,169554000.0,63213000.0,81721000.0,32969000.0,1425000.0,16109000.0,-3482000.0,-7177000.0,-19749000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,4128000.0,-3682000.0,6362000.0,-36000.0,89000.0,-400000.0,-116000.0,-1407000.0,1897000.0,-2612000.0
Free Cash Flow,165527000.0,77404000.0,81741000.0,57672000.0,39199000.0,13762000.0,13102000.0,9379000.0,14947000.0,5300000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9371,-1.8957
