Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,524067000.0,474927000.0,416268000.0,400408000.0,303511000.0,194320000.0,140033000.0,208798000.0,176795000.0,174342000.0
Revenue Growth,0.103468533058765,0.140916428839113,0.039609598209826,0.3192536679066,0.561913338822561,0.387672905672234,-0.329337445760975,0.181017562713878,0.0140700462309713,-0.032
Cost of Revenue,369177000.0,331841000.0,282294000.0,267545000.0,187185000.0,128670000.0,96070000.0,136981000.0,116494000.0,117264000.0
Gross Profit,154890000.0,143086000.0,133974000.0,132863000.0,116326000.0,65650000.0,43963000.0,71817000.0,60301000.0,57078000.0
R&D Expenses,3194000.0,2926000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,69958000.0,61594000.0,54260000.0,48150000.0,38239000.0,31872000.0,19895000.0,26389000.0,26509000.0,20085000.0
Operating Expenses,84624000.0,75921000.0,64856000.0,55512000.0,44042000.0,37497000.0,25094000.0,31590000.0,38893000.0,27639000.0
Operating Income,73460000.0,70091000.0,69118000.0,77351000.0,72217000.0,27506000.0,18869000.0,40181000.0,21408000.0,29439000.0
Interest Expense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10943000.0,15520000.0
Earnings before Tax,55759000.0,52915000.0,63696000.0,66263000.0,61997000.0,0.0,10156000.0,30372000.0,2534000.0,13829000.0
Income Tax Expense,11854000.0,-2409000.0,24687000.0,22087000.0,22036000.0,7378000.0,4144000.0,11332000.0,872000.0,3986000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,43905000.0,55324000.0,39009000.0,43572000.0,39352000.0,11460000.0,5943000.0,18807000.0,1662000.0,9843000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.0
Net Income Com,43905000.0,55324000.0,39009000.0,43572000.0,39352000.0,11460000.0,5943000.0,18807000.0,1650000.0,9843000.0
EPS,1.91,2.42,1.71,1.95,1.78,0.52,0.27,0.87,0.09,0.68
EPS Diluted,1.89,2.4,1.7,1.94,1.77,0.51,0.26,0.85,0.09,0.67
Weighted Average Shs Out,22681888000.0,22576381000.0,22480679000.0,22329044.0,22168500.0,22029374.0,21894569.0,0.0,21405426.0,
Weighted Average Shs Out (Dil),22704856000.0,22587648000.0,22480679000.0,22341775.0,22188846.0,22067174.0,21964311.0,0.0,21405426.0,
Dividend per Share,0.00107391123731,0.000972832585314,0.000954197157479,0.902927363649,0.883236559486,0.847367225183,0.830028312748,0.0,0.383,0.0
Gross Margin,0.295553812776,0.301279986187,0.321845541814,0.331819044575,0.383267822254,0.337844792096,0.313947426678,0.343954444008,0.3411,0.3274
EBITDA Margin,0.178906513862,0.18926908767,0.208543534454,0.225649837166,0.270833676539,0.190186290655,0.198824562782,0.235581758446,0.142,0.237
EBIT Margin,0.140172916822,0.147582681128,0.166042069052,0.193180455935,0.237938657907,0.141550020585,0.134746809681,0.192439582755,0.0762,0.1683
Profit Margin,0.083777455936,0.116489481541,0.0937112629364,0.108819004615,0.129655926803,0.0589748867847,0.0424399962866,0.0900727018458,0.009,0.056
Free Cash Flow margin,0.0925282454343,0.123789550815,0.14435411802,0.116021657909,0.159773451374,0.151672498971,0.101211857205,0.217219513597,0.0735,0.0996
EBITDA,93759000.0,89889000.0,86810000.0,90352000.0,82201000.0,36957000.0,27842000.0,49189000.0,25182000.0,41307000.0
EBIT,73460000.0,70091000.0,69118000.0,77351000.0,72217000.0,27506000.0,18869000.0,40181000.0,13477000.0,29349000.0
Consolidated Income,43905000.0,55324000.0,39009000.0,43572000.0,39352000.0,11460000.0,5943000.0,18807000.0,1662000.0,9843000.0
Earnings Before Tax Margin,0.106396701185,0.111417123053,0.15301680648,0.165488701524,0.204266072729,0.0,0.0725257617847,0.145461163421,0.0143,0.0793
Net Profit Margin,0.083777455936,0.116489481541,0.0937112629364,0.108819004615,0.129655926803,0.0589748867847,0.0424399962866,0.0900727018458,0.0094,0.0565
