Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Revenue,49217000.0,24818000.0,19888000.0,19205000.0,2839000.0,-589000.0
Revenue Growth,0.983117092432912,0.24788817377313,0.0355636552980995,5.76470588235294,-5.82003395585739,
Cost of Revenue,0.0,0.0,5927000.0,5751000.0,604000.0,0.0
Gross Profit,0.0,0.0,13961000.0,13454000.0,2235000.0,-589000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,6032000.0,0.0,3709000.0,4688000.0,3302000.0,2883000.0
Operating Expenses,50269000.0,27495000.0,15416000.0,18823000.0,7717000.0,2883000.0
Operating Income,-1052000.0,-2677000.0,-1455000.0,-5369000.0,-5482000.0,-3472000.0
Interest Expense,15734000.0,11581000.0,40679000.0,44676000.0,13279000.0,0.0
Earnings before Tax,0.0,0.0,-36987000.0,-48665000.0,-18429000.0,-3472000.0
Income Tax Expense,3188000.0,2951000.0,0.0,0.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,-2301000.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-18716000.0,-8707000.0,-36987000.0,-48665000.0,-18429000.0,-3472000.0
Preferred Dividends,3940000.0,723000.0,0.0,0.0,0.0,0.0
Net Income Com,-18716000.0,-8707000.0,-36987000.0,-48665000.0,-18429000.0,-3472000.0
EPS,-5.76,-4.45,-111.42,-146.6,-56.76,-20.36
EPS Diluted,-5.76,-4.45,-111.42,-146.6,-56.76,-20.36
Weighted Average Shs Out,4027329.0,2149977.0,331965.0,331965.0,331448.0,
Weighted Average Shs Out (Dil),4027329.0,2149977.0,331965.0,331965.0,324661.0,170408.0
Dividend per Share,2.75194800325,0.816287802149,0.0,0.0,0.0,0.0
Gross Margin,0.0,0.0,0.702,0.7005,0.7872,1.0
EBITDA Margin,0.549403661337,0.473204931904,0.773,0.479,-1.255,5.895
EBIT Margin,-0.0213747282443,-0.107865259086,0.1856,-0.2077,-1.814,5.8947
Profit Margin,-0.380275108194,-0.350834072044,-1.86,-2.534,-6.491,5.895
Free Cash Flow margin,0.302070422821,0.305463776291,-0.0317,-0.2556,-56.1899,4.9643
EBITDA,27040000.0,11744000.0,15366000.0,9191000.0,-3563000.0,-3472000.0
EBIT,-1052000.0,-2677000.0,3692000.0,-3989000.0,-5150000.0,-3472000.0
Consolidated Income,-18716000.0,-8707000.0,-39288000.0,-48665000.0,-18429000.0,-3472000.0
Earnings Before Tax Margin,0.0,0.0,-1.8598,-2.534,-6.4914,5.8947
Net Profit Margin,-0.380275108194,-0.350834072044,-1.8598,-2.534,-6.4914,5.8947
