Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,203406000.0,200064000.0,156857000.0,78417000.0,110925000.0,126813000.0,59352000.0,60235000.0,63462000.0,59706000.0
Short-term investments,1103222000.0,787429000.0,380963000.0,280273000.0,201638000.0,256089000.0,84066000.0,115645000.0,,
Cash and short-term investments,1306628000.0,987493000.0,537820000.0,358690000.0,312563000.0,382902000.0,143418000.0,175880000.0,,
Receivables,37837000.0,27053000.0,13145000.0,9315000.0,7131000.0,6254000.0,4126000.0,3885000.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,1344465000.0,1014546000.0,550965000.0,368005000.0,319694000.0,389156000.0,147544000.0,179765000.0,,
Property Plant & Equipment Net,64691000.0,53155000.0,12014000.0,9248000.0,9165000.0,9864000.0,8575000.0,9819000.0,8223000.0,8713000.0
Goodwill and Intangible Assets,909256000.0,536014000.0,111941000.0,58002000.0,28564000.0,24056000.0,2626000.0,2069000.0,0.0,0.0
Long-term investments,159765000.0,120780000.0,142151000.0,63482000.0,247669000.0,179034000.0,133560000.0,0.0,,
Tax assets,15627000.0,13265000.0,16807000.0,11511000.0,9383000.0,8477000.0,6887000.0,8998000.0,11103000.0,11465000.0
Total non-current assets,10142922000.0,7009955000.0,3485346000.0,2422641000.0,1719203000.0,1325031000.0,1026248000.0,781363000.0,,
Total assets,11487387000.0,8024501000.0,4036311000.0,2790646000.0,2038897000.0,1714187000.0,1173792000.0,961128000.0,826816000.0,807323000.0
Payables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short-term debt,110313000.0,105123000.0,69383000.0,70310000.0,70310000.0,10310000.0,10310000.0,10310000.0,,
Total current liabilities,113219000.0,108029000.0,69383000.0,70310000.0,70310000.0,10310000.0,10310000.0,10310000.0,,
Long-term debt,667606000.0,490148000.0,278000000.0,148000000.0,70000000.0,156000000.0,87000000.0,0.0,,
Total debt,777919000.0,595271000.0,347383000.0,218310000.0,140310000.0,166310000.0,97310000.0,10310000.0,78810000.0,101810000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,2906000.0,2906000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,8658351000.0,6085868000.0,3145485000.0,2195123000.0,1630826000.0,1306286000.0,904768000.0,828877000.0,659240000.0,618734000.0
Total non-current liabilities,683233000.0,503413000.0,294807000.0,159511000.0,79383000.0,164477000.0,93887000.0,0.0,,
Total liabilities,9517690000.0,6782505000.0,3576571000.0,2491666000.0,1839305000.0,1538961000.0,1039275000.0,874351000.0,748214000.0,733821000.0
Other comprehensive income,1674274000,1063974000,345138000,221487000,147474000,143322000,107453000,76310000,-914000.0,-1741000.0
Retained earnings (deficit),300407000.0,177149000.0,117049000.0,76946000.0,51431000.0,34815000.0,25822000.0,10046000.0,-526000.0,-4764000.0
Total shareholders equity,1969697000.0,1241996000.0,459740000.0,298980000.0,199592000.0,175226000.0,134517000.0,86777000.0,78602000.0,73502000.0
Investments,1262987000.0,908209000.0,523114000.0,343755000.0,449307000.0,435123000.0,217626000.0,115645000.0,723966000.0,704321000.0
Net Debt,574513000.0,395207000.0,190526000.0,139893000.0,29385000.0,39497000.0,37958000.0,-49925000.0,,
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Other Liabilities,8721238000.0,6171063000.0,3212381000.0,2261845000.0,1689612000.0,1364174000.0,935078000.0,864041000.0,,
