Date,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Revenue,878059000.0,785872000.0,651039000.0,698740000.0,688038000.0
Revenue Growth,0.0,0.207104336299361,-0.0682671666141913,0.0155543734503036,
Cost of Revenue,501025000.0,434830000.0,393741000.0,489464000.0,
Gross Profit,377034000.0,351042000.0,257298000.0,209276000.0,
R&D Expenses,0.0,0.0,0.0,0.0,
SG&A Expense,105686000.0,271547000.0,213844000.0,241873000.0,
Operating Expenses,105686000.0,271547000.0,213844000.0,241873000.0,
Operating Income,57631000.0,79495000.0,43454000.0,-32597000.0,
Interest Expense,12795000.0,12377000.0,12125000.0,12125000.0,
Earnings before Tax,57631000.0,67932000.0,-5760000.0,-124316000.0,-8900000.0
Income Tax Expense,12137000.0,13389000.0,38233000.0,-23988000.0,-7321000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,
Net Income - Discontinued ops,0.0,-814000.0,37089000.0,79594000.0,
Net Income,38890000.0,54543000.0,-43993000.0,-100328000.0,
Preferred Dividends,0.0,0.0,0.0,0.0,
Net Income Com,38890000.0,54543000.0,-43993000.0,-100328000.0,
EPS,0.95,9.1,-7.57,-18.32,
EPS Diluted,0.94,8.94,-7.57,-18.32,
Weighted Average Shs Out,41095000.0,42000000.0,42000000.0,,
Weighted Average Shs Out (Dil),41523000.0,,,,
Dividend per Share,0.0,0.0,0.0,0.0,
Gross Margin,0.429394835655,0.4467,0.3952,0.2995,
EBITDA Margin,0.0725987661421,0.112,0.021,-0.15,
EBIT Margin,0.0656345416424,0.1022,0.0098,-0.1606,
Profit Margin,0.0442908733923,0.069,-0.068,-0.144,
Free Cash Flow margin,0.281030090233,0.284,0.0952,0.033,
EBITDA,63746000.0,87660000.0,13980000.0,-105110000.0,
EBIT,57631000.0,80309000.0,6365000.0,-112191000.0,
Consolidated Income,38890000.0,54543000.0,-43993000.0,-100328000.0,
Earnings Before Tax Margin,0.0656345416424,0.0864,-0.0088,-0.1779,-0.0129
Net Profit Margin,0.0442908733923,0.0694,-0.0676,-0.1436,
