Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Depreciation & Amortization,8426193.9219,7513754.5345,10053563.7149,14097519.6426,16196641.9115
Stock-based compensation,2696237.3372,14405532.0435,0.0,0.0,0.0
Operating Cash Flow,54997684.5152,52917170.4958,34698344.1325,25222615.9297,4043429.125
Capital Expenditure,-9422575.9768,-7606408.7062,-5077033.8373,-5359882.9148,-5854859.5415
Acquisitions and disposals,-3905209.8408,0.0,0.0,0.0,-42460.4456
Investment purchases and sales,0.0,0.0,148740.1008,765213.3724,-968679.3671
Investing Cash flow,-14598408.1042,-8021009.6735,-6125845.9323,-5890155.6001,-7551985.7927
Issuance (repayment) of debt,-10987554.2692,41018742.4426,51387616.9906,0.0,0.0
Issuance (buybacks) of shares,2694356.0058,66177297.4607,0.0,0.0,0.0
Dividend payments,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,-8293198.2634,20768137.8476,-9953779.6976,15097.8278,632870.5199
Effect of forex changes on cash,1452532.5615,-941354.2926,753635.7091,366353.4124,49886.9874
Net cash flow / Change in cash,33558610.7091,64722944.3773,19372354.2117,19713911.5699,-2825799.1605
Free Cash Flow,45575108.5384,45310761.7896,29621310.2952,19862733.0149,-1811430.4165
Net Cash/Marketcap,0.239,-0.0793,-0.0793,-0.0793,-0.0793
