Date,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,1379068000.0,1107922000.0,1361592000.0,421157000.0,506885000.0,525584000.0,408032000.0,325358000.0,216984000.0,277738000.0,203112000.0
Short-term investments,17368789000.0,2586520000.0,991863000.0,1368379000.0,8999068000.0,6743750000.0,254776000.0,58186000.0,50560000.0,6100212000.0,
Cash and short-term investments,18747857000.0,3694442000.0,2353455000.0,1789536000.0,9505953000.0,7269334000.0,662808000.0,383544000.0,267544000.0,6377950000.0,
Receivables,2599896000.0,1537188000.0,1304622000.0,987323000.0,778009000.0,440007000.0,474087000.0,491365000.0,471878000.0,322080000.0,491298000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,21347753000.0,5231630000.0,3658077000.0,2776859000.0,10283962000.0,7709341000.0,1136895000.0,874909000.0,739422000.0,6700030000.0,
Property Plant & Equipment Net,42800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goodwill and Intangible Assets,262226000.0,237418000.0,243145000.0,251186000.0,265154000.0,7902000.0,8111000.0,8486000.0,8894000.0,14690000.0,15306000.0
Long-term investments,1087377000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tax assets,43904000.0,64663000.0,56693000.0,80122000.0,78372000.0,260000.0,169000.0,-144000.0,-408000.0,0.0,0.0
Total non-current assets,4982341000.0,13444566000.0,11568054000.0,9575223000.0,1276909000.0,494209000.0,7042236000.0,7053719000.0,7005490000.0,1438248000.0,
Total assets,26330094000.0,18676196000.0,15226131000.0,12352082000.0,11560871000.0,8203550000.0,8179131000.0,7928628000.0,7744912000.0,8138278000.0,7926212000.0
Payables,2830691000.0,1902056000.0,989090000.0,673983000.0,523974000.0,454580000.0,293022000.0,290419000.0,256883000.0,318024000.0,443597000.0
Short-term debt,0.0,510557000.0,487857000.0,0.0,85000000.0,300000000.0,281000000.0,2400000.0,4400000.0,0.0,
Total current liabilities,5361666000.0,4128634000.0,2954556000.0,1905556000.0,1498076000.0,1266966000.0,1051910000.0,692336000.0,612238000.0,604207000.0,
Long-term debt,1384105000.0,991127000.0,989623000.0,948663000.0,966079000.0,249522000.0,249430000.0,351775000.0,353620000.0,549155000.0,
Total debt,1384105000.0,1501684000.0,1477480000.0,948663000.0,1051079000.0,549522000.0,530430000.0,354175000.0,358020000.0,549155000.0,300000000.0
Deferred revenue,2530975000.0,1716021000.0,1477609000.0,1231573000.0,889102000.0,512386000.0,477888000.0,399517000.0,347655000.0,286183000.0,317592000.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300000.0,0.0,0.0
Deposit Liabilities,9000000.0,10300000.0,21700000.0,25700000.0,32300000.0,39000000.0,39700000.0,41200000.0,50000000.0,0.0,0.0
Total non-current liabilities,1424566000.0,1005920000.0,1006353000.0,962940000.0,984198000.0,249576000.0,249585000.0,352144000.0,354269000.0,549155000.0,
Total liabilities,20358727000.0,13631116000.0,10834756000.0,7485505000.0,6828687000.0,4337835000.0,4274747000.0,4425563000.0,4139719000.0,4201953000.0,3298779000.0
Other comprehensive income,1218277000,946099000,437355000,616558000,907674000,400000000,400000000,400000000,550000000,550000000,41438000.0
Retained earnings (deficit),4710881000.0,4058207000.0,3913772000.0,4207699000.0,3778701000.0,3423857000.0,3456607000.0,3043901000.0,2991890000.0,3312392000.0,3087603000.0
Total shareholders equity,5971367000.0,5045080000.0,4391375000.0,4866577000.0,4732184000.0,3865715000.0,3904384000.0,3503065000.0,3605193000.0,3936325000.0,3840786000.0
Investments,18456166000.0,2586520000.0,991863000.0,1368379000.0,8999068000.0,6743750000.0,254776000.0,58186000.0,50560000.0,6100212000.0,6015259000.0
Net Debt,5037000.0,393762000.0,115888000.0,527506000.0,544194000.0,23938000.0,122398000.0,28817000.0,141036000.0,271417000.0,
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Other Liabilities,13572495000.0,8496562000.0,6873847000.0,4617009000.0,4346413000.0,2821293000.0,2973252000.0,3381083000.0,3173212000.0,3048591000.0,
