Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,836497000.0,839113000.0,819822000.0,797953000.0,778797000.0,745284000.0,703867000.0,660158000.0,612719000.0,591954000.0
Revenue Growth,-0.00311757772791031,0.023530717643586,0.0274063760647557,0.0245969103630343,0.0449667509298469,0.0588420823820409,0.0662099073252161,0.077423745632174,0.0350787392263588,-0.0765
Cost of Revenue,485513000.0,503887000.0,493433000.0,612569000.0,476366000.0,447749000.0,422217000.0,466640000.0,360848000.0,346301000.0
Gross Profit,350984000.0,335226000.0,326389000.0,185384000.0,302431000.0,297535000.0,281650000.0,193518000.0,251871000.0,245653000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,0.0,0.0,0.0,0.0,0.0,0.0,200138000.0,179157000.0,172823000.0,171124000.0
Operating Expenses,246643000.0,248436000.0,233017000.0,213939000.0,219023000.0,209758000.0,200138000.0,179157000.0,172823000.0,171124000.0
Operating Income,104251000.0,86700000.0,93282000.0,-28645000.0,83318000.0,87688000.0,81424000.0,14273000.0,79048000.0,74529000.0
Interest Expense,90000.0,90000.0,90000.0,90000.0,90000.0,89000.0,88000.0,88000.0,88000.0,135000.0
Earnings before Tax,104251000.0,86700000.0,93282000.0,-28645000.0,83318000.0,87688000.0,81424000.0,14273000.0,78960000.0,74394000.0
Income Tax Expense,21056000.0,24313000.0,28697000.0,-14792000.0,23964000.0,26337000.0,23354000.0,571000.0,22618000.0,20242000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,83195000.0,62387000.0,64585000.0,-13853000.0,59354000.0,61351000.0,58070000.0,13702000.0,56342000.0,54152000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,83195000.0,62387000.0,64585000.0,-13853000.0,59354000.0,61351000.0,58070000.0,13702000.0,56342000.0,54152000.0
EPS,5.48,4.13,4.29,-0.93,3.93,4.0,3.8,0.9,3.74,3.49
EPS Diluted,5.43,4.1,4.27,-0.93,3.91,3.98,3.8,0.9,3.74,3.48
Weighted Average Shs Out,15080269.0,15010751.0,14946453.0,14866607.0,15107339.0,15354468.0,15288346.0,15165065.0,15039472.0,15051435.0
Weighted Average Shs Out (Dil),15229898.0,15135348.0,15032263.0,14866607.0,15197036.0,15399801.0,15295452.0,15176006.0,15065696.0,15533331.0
Dividend per Share,3.20507727629,3.00356489986,2.81161924855,2.82350908987,2.58616219637,2.3938621025,2.19895430354,1.99802240458,1.8,1.6
Gross Margin,0.419587876585,0.399500424853,0.398121787412,0.232324460213,0.388330977135,0.399223651655,0.400146618608,0.293138915229,0.4111,0.415
EBITDA Margin,0.13746731907,0.117623013825,0.130949157256,-0.0201114601988,0.123833296738,0.134195823337,0.136028539483,0.0421520302715,0.149,0.146
EBIT Margin,0.124628062025,0.103323390294,0.113783235873,-0.0358981042743,0.106982949344,0.117657161565,0.115680945406,0.0216205817395,0.129,0.1259
Profit Margin,0.0994564236333,0.0743487468315,0.0787792959935,-0.0173606716185,0.0762124147884,0.0823189549219,0.0825013816531,0.0207556372868,0.092,0.091
Free Cash Flow margin,0.139280834241,0.0906695522534,0.114554134922,0.0236229452111,0.123021788733,0.142148496412,0.14227545829,0.0538749814438,0.0796,0.1084
EBITDA,114991000.0,98699000.0,107355000.0,-16048000.0,96441000.0,100014000.0,95746000.0,27827000.0,91581000.0,86578000.0
EBIT,104251000.0,86700000.0,93282000.0,-28645000.0,83318000.0,87688000.0,81424000.0,14273000.0,79048000.0,74529000.0
Consolidated Income,83195000.0,62387000.0,64585000.0,-13853000.0,59354000.0,61351000.0,58070000.0,13702000.0,56342000.0,54152000.0
Earnings Before Tax Margin,0.124628062025,0.103323390294,0.113783235873,-0.0358981042743,0.106982949344,0.117657161565,0.115680945406,0.0216205817395,0.1289,0.1257
Net Profit Margin,0.0994564236333,0.0743487468315,0.0787792959935,-0.0173606716185,0.0762124147884,0.0823189549219,0.0825013816531,0.0207556372868,0.092,0.0915
