Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,472400000.0,472000000.0,528800000.0,529000000.0,135500000.0,136000000.0,2982400000.0,2982000000.0,2239400000.0,2239000000.0,1482200000.0,620000000.0,550600000.0
Short-term investments,3800000.0,,3600000.0,,17200000.0,,13100000.0,,6700000.0,,0.0,0.0,0.0
Cash and short-term investments,476200000.0,,532400000.0,,152700000.0,,2995500000.0,,2246100000.0,,1482200000.0,620000000.0,550600000.0
Receivables,3009800000.0,3010000000.0,2616500000.0,2616000000.0,1201200000.0,1201000000.0,1035100000.0,1035000000.0,961200000.0,961000000.0,824200000.0,845000000.0,692500000.0
Inventories,3291500000.0,3292000000.0,3562300000.0,3562000000.0,635400000.0,635000000.0,544800000.0,545000000.0,455300000.0,455000000.0,436900000.0,340100000.0,260000000.0
Total current assets,7608400000.0,60148000000.0,7539500000.0,59496000000.0,2255500000.0,14354000000.0,5183100000.0,8449000000.0,4288300000.0,4035000000.0,3212100000.0,2208200000.0,1880300000.0
Property Plant & Equipment Net,6635400000.0,6635000000.0,6469600000.0,6470000000.0,828100000.0,828000000.0,837500000.0,838000000.0,891800000.0,892000000.0,955800000.0,932100000.0,853400000.0
Goodwill and Intangible Assets,52877800000.0,52878000000,52585700000.0,52586000000,13321100000.0,13321000000,7409300000.0,7409000000,2937200000.0,2938000000,3032600000.0,3085600000.0,2381400000.0
Long-term investments,241100000.0,,191600000.0,,50800000.0,,43700000.0,,31800000.0,,38700000.0,29900000.0,101600000.0
Tax assets,188800000.0,189000000.0,96700000.0,97000000.0,121000000.0,121000000.0,112100000.0,112000000.0,141100000.0,141000000.0,46500000.0,50700000.0,110400000.0
Total non-current assets,60148500000.0,23698000000.0,59495900000.0,30344000000.0,14354300000.0,3075000000.0,8449000000.0,1947000000.0,4034700000.0,1149000000.0,4105100000.0,4172000000.0,3507300000.0
Total assets,67756900000.0,67757000000.0,67035400000.0,67035000000.0,16609800000.0,16610000000.0,13632100000.0,13632000000.0,8323000000.0,8323000000.0,7317200000.0,6380200000.0,5387600000.0
Payables,4184500000.0,915000000.0,4312400000.0,912000000.0,2050600000.0,336000000.0,1909400000.0,248000000.0,1688400000.0,203000000.0,1501500000.0,1370500000.0,1239300000.0
Short-term debt,908800000.0,2781000000.0,362900000.0,3068000000.0,144000000.0,1512000000.0,262500000.0,000000.0,0.0,000000.0,144100000.0,1100000000.0,49600000.0
Total current liabilities,7882000000.0,7882000000.0,7743300000.0,7743000000.0,3706100000.0,3706000000.0,3021900000.0,3022000000.0,1807900000.0,1808000000.0,1645600000.0,2534300000.0,1293300000.0
Long-term debt,16752400000.0,16411000000.0,19899800000.0,19553000000.0,69900000.0,70000000.0,850.0,000000.0,0.0,000000.0,1100000000.0,0.0,1100000000.0
Total debt,17661200000.0,16411000000.0,20262700000.0,19553000000.0,213900000.0,70000000.0,262500850.0,000000.0,0.0,000000.0,1244100000.0,1100000000.0,1149600000.0
Deferred revenue,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,7000000.0,0.0,10000000.0,0.0,0.0,13700000.0
Tax Liabilities,65100000.0,4748000000.0,236300000.0,8323000000.0,73500000.0,2206000000.0,16200000.0,1211000000.0,69000000.0,561000000.0,78400000.0,27700000.0,16200000.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Total non-current liabilities,23698500000.0,23698000000.0,30344100000.0,30344000000.0,3074600000.0,3075000000.0,1954500850.0,1947000000.0,1158900000.0,1149000000.0,1873800000.0,528800000.0,1649100000.0
Total liabilities,31580500000.0,31580000000.0,38087400000.0,38087000000.0,6780700000.0,6781000000.0,4969200000.0,4969000000.0,2957000000.0,2957000000.0,3508000000.0,3195200000.0,2936200000.0
Other comprehensive income,24799200000,1375000000.0,24439000000,-1498000000.0,4165700000,-184000000.0,3992100000,-32000000.0,3735700000,110000000.0,2671100000,2566100000,2470300000
Retained earnings (deficit),9920600000.0,9921000000.0,5925300000.0,5925000000.0,5788300000.0,5788000000.0,4643600000.0,4644000000.0,1461500000.0,1462000000.0,995500000.0,502900000.0,-160300000.0
Total shareholders equity,36176400000.0,36176000000.0,28948000000.0,28948000000.0,9829100000.0,9829000000.0,8662900000.0,8663000000.0,5366000000.0,5366000000.0,3809200000.0,3185000000.0,2451400000.0
Investments,244900000.0,,195200000.0,,68000000.0,,56800000.0,,38500000.0,,38700000.0,29900000.0,101600000.0
Net Debt,17188800000.0,18720000000,19733900000.0,22092000000,78400000.0,1446000000,-2719899150.0,-2982000000,-2239400000.0,-2239000000,-238100000.0,480000000.0,599000000.0
Other Assets,0.0,1038000000,0.0,992000000,0.0,332000000,0.0,329000000,0.0,352000000,0.0,0.0,0.0
Other Liabilities,0.0,6281000000,0.0,5885000000,0.0,2562000000,0.0,2621000000,0.0,2099000000,0.0,132100000.0,0.0
