Date,2005-12,2004-12,2003-12,2002-12,2001-12
Depreciation & Amortization,,,,,
Stock-based compensation,,,,,
Operating Cash Flow,161000000.0,109000000.0,86000000.0,36000000.0,77000000.0
Capital Expenditure,,,,,
Acquisitions and disposals,,,,,
Investment purchases and sales,0,0,0,0,0
Investing Cash flow,,,,,
Issuance (repayment) of debt,,,,,
Issuance (buybacks) of shares,,,,,
Dividend payments,,,,,
Financing Cash Flow,-152000000.0,-109000000.0,-84000000.0,-36000000.0,-80000000.0
Effect of forex changes on cash,,,,,
Net cash flow / Change in cash,10000000.0,-1000000.0,3000000.0,-1000000.0,-3000000.0
Free Cash Flow,161000000.0,109000000.0,86000000.0,36000000.0,77000000.0
Net Cash/Marketcap,,,,,
