Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,0.0,0.0,-2912000.0,355000.0,889000.0,452000.0,49000.0,0.0,172000.0,162000.0
Stock-based compensation,395000.0,3169000.0,2264000.0,1931000.0,5387000.0,2530000.0,1394000.0,0.0,4368000.0,4202000.0
Operating Cash Flow,-30422000.0,-10989000.0,-44915000.0,-48160000.0,-42869000.0,-28908000.0,-20963000.0,0.0,-10257000.0,-11769000.0
Capital Expenditure,0.0,0.0,0.0,534000.0,57000.0,705000.0,0.0,0.0,-106000.0,-83000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0,-0.0,-15143000.0,-0.0,-0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,3911000.0,0.0,0.0,0.0,0.0
Investing Cash flow,0.0,1812000.0,-1056000.0,10395000.0,-5528000.0,-12036000.0,-87000.0,0.0,-106000.0,-83000.0
Issuance (repayment) of debt,-7601000.0,-473000.0,-5579000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-70000.0,-34000.0
Issuance (buybacks) of shares,21564000.0,3688000.0,15451000.0,17686000.0,-12946000.0,-10248000.0,3571000.0,0.0,11640000.0,7714000.0
Dividend payments,-487000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
Financing Cash Flow,23123000.0,5534000.0,34324000.0,43845000.0,24260000.0,55924000.0,42424000.0,0.0,11570000.0,7680000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-7299000.0,-3643000.0,-11647000.0,6080000.0,-24137000.0,14980000.0,21374000.0,0.0,1207000.0,-4172000.0
Free Cash Flow,-30422000.0,-10989000.0,-44915000.0,-48694000.0,-42926000.0,-29613000.0,-20963000.0,0.0,-10363000.0,-11852000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1443,0.0756
