Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Revenue,4977000000.0,4383600000.0,4045700000.0,3959400000.0,3940576000.0
Revenue Growth,0.135368190528333,0.08352077514398,0.0217962317522857,0.00477696661604801,
Cost of Revenue,3197500000.0,2774000000.0,2168800000.0,2173200000.0,2276483000.0
Gross Profit,1779500000.0,1609600000.0,1876900000.0,1786200000.0,1664093000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0
SG&A Expense,1259400000.0,1223500000.0,102100000.0,125200000.0,94107000.0
Operating Expenses,1403700000.0,1329300000.0,1586500000.0,1526000000.0,1424742000.0
Operating Income,375800000.0,280300000.0,290400000.0,260200000.0,239351000.0
Interest Expense,12500000.0,17400000.0,21400000.0,18700000.0,11732000.0
Earnings before Tax,364600000.0,263400000.0,265600000.0,238700000.0,225863000.0
Income Tax Expense,95700000.0,-126500000.0,108700000.0,97800000.0,92295000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0
Net Income,268900000.0,389900000.0,156900000.0,140900000.0,133568000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0
Net Income Com,268900000.0,389900000.0,156900000.0,140900000.0,133568000.0
EPS,1.52,2.28,1.0,0.91,0.86
EPS Diluted,1.52,2.28,1.0,0.91,0.86
Weighted Average Shs Out,177000000.0,171100000.0,173538390.0,174000000.0,
Weighted Average Shs Out (Dil),177200000.0,171300000.0,156600000.0,155300000.0,154983767.0
Dividend per Share,0.229683972912,0.148861646235,0.0,0.0,0.0
Gross Margin,0.357544705646,0.367186787116,0.4639,0.4511,0.4223
EBITDA Margin,0.134036568214,0.127589196095,0.137,0.125,0.119
EBIT Margin,0.0755073337352,0.0639428779998,0.0709,0.065,0.0603
Profit Margin,0.0540285312437,0.0889451592299,0.039,0.036,0.034
Free Cash Flow margin,0.0364476592325,0.0166073546856,0.0058,0.0014,-0.0327
EBITDA,667100000.0,559300000.0,553000000.0,493700000.0,467603000.0
EBIT,375800000.0,280300000.0,287000000.0,257400000.0,237595000.0
Consolidated Income,268900000.0,389900000.0,156900000.0,140900000.0,133568000.0
Earnings Before Tax Margin,0.0732569821177,0.0600875992335,0.0656,0.0603,0.0573
Net Profit Margin,0.0540285312437,0.0889451592299,0.0388,0.0356,0.0339
