Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,21092000.0,377627000.0,374448000.0,695794000.0,417869000.0,479461000.0,380730000.0,171425000.0,237099000.0,104908000.0
Short-term investments,1542671000.0,1673769000.0,1014981000.0,1027748000.0,826943000.0,812603000.0,560091000.0,324056000.0,,
Cash and short-term investments,1563763000.0,2051396000.0,1389429000.0,1723542000.0,1244812000.0,1292064000.0,940821000.0,495481000.0,,
Receivables,0.0,0.0,0.0,0.0,3443000.0,3482000.0,8190000.0,0.0,212103000.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,1563763000.0,2051396000.0,1389429000.0,1723542000.0,1248255000.0,1295546000.0,949011000.0,495481000.0,,
Property Plant & Equipment Net,241076000.0,255565000.0,183510000.0,174537000.0,171772000.0,188114000.0,115583000.0,94250000.0,87381000.0,71829000.0
Goodwill and Intangible Assets,1065800000.0,1073375000.0,378188000.0,0.0,0.0,0.0,0.0,0.0,62888000.0,62888000.0
Long-term investments,124895000.0,1673769000.0,1014981000.0,1027748000.0,826943000.0,812603000.0,560091000.0,324056000.0,,
Tax assets,37128000.0,45902000.0,31123000.0,37827000.0,42692000.0,76690000.0,33901000.0,0.0,0.0,0.0
Total non-current assets,13112565000.0,12415193000.0,7511163000.0,6833806000.0,6577972000.0,6635952000.0,4187435000.0,3401076000.0,,
Total assets,14676328000.0,14466589000.0,8900592000.0,8557348000.0,7826227000.0,7931498000.0,5136446000.0,3896557000.0,3594791000.0,2702188000.0
Payables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short-term debt,115200000.0,114500000.0,54400000.0,54200000.0,100300000.0,99900000.0,53600000.0,0.0,,
Total current liabilities,115200000.0,114500000.0,54400000.0,54200000.0,100300000.0,99900000.0,53600000.0,0.0,,
Long-term debt,150000000.0,100000000.0,55358000.0,55158000.0,101210000.0,102060000.0,54897000.0,0.0,,
Total debt,265200000.0,214500000.0,109758000.0,109358000.0,201510000.0,201960000.0,108497000.0,0.0,237995000.0,306139000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,11646933000.0,11532766000.0,7334423000.0,7100428000.0,6461045000.0,6555497000.0,4298360000.0,3254472000.0,3004148000.0,2104639000.0
Total non-current liabilities,188650000.0,136119000.0,98680000.0,99564000.0,143902000.0,178750000.0,88798000.0,0.0,,
Total liabilities,12310032000.0,12157669000.0,7766004000.0,7497964000.0,6841307000.0,6950029000.0,4628897000.0,3514777000.0,3264834000.0,2419369000.0
Other comprehensive income,1750495000,1807601000,711307000,703929000,701764000,762355000,328843000,233232000,-3792000.0,-5382000.0
Retained earnings (deficit),551108000.0,419847000.0,370916000.0,298919000.0,223156000.0,168577000.0,135986000.0,116198000.0,103117000.0,59915000.0
Total shareholders equity,2366296000.0,2308920000.0,1134588000.0,1059384000.0,984920000.0,981469000.0,507549000.0,381780000.0,329957000.0,282819000.0
Investments,1667566000.0,3347538000.0,2029962000.0,2055496000.0,1653886000.0,1625206000.0,1120182000.0,648112000.0,2850342000.0,2394425000.0
Net Debt,244108000.0,-163127000.0,-264690000.0,-586436000.0,-216359000.0,-277501000.0,-272233000.0,-171425000.0,,
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Other Liabilities,12006182000.0,11907050000.0,7612924000.0,7344200000.0,6597105000.0,6671379000.0,4486499000.0,3514777000.0,,
