Date,2017-12-31,2016-12-31,2015-12-31
Revenue,1065000.0,1065000.0,869000.0
Revenue Growth,0,0.225546605293441,0.0
Cost of Revenue,32000.0,23000.0,35000.0
Gross Profit,1033000.0,1042000.0,834000.0
R&D Expenses,14605000.0,20902000.0,19956000.0
SG&A Expense,6895000.0,7561000.0,4791000.0
Operating Expenses,21500000.0,28463000.0,24747000.0
Operating Income,-20435000.0,-27398000.0,-24685000.0
Interest Expense,0.0,0.0,0.0
Earnings before Tax,-23199000.0,-25497000.0,-24597000.0
Income Tax Expense,6000.0,372000.0,374000.0
Net Income - Non-Controlling int,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0
Net Income,-23205000.0,-25869000.0,-24971000.0
Preferred Dividends,0.0,0.0,0.0
Net Income Com,-23205000.0,-25869000.0,-24971000.0
EPS,-0.95,-1.59,-2.45
EPS Diluted,-0.95,-1.59,-2.45
Weighted Average Shs Out,24421288.0,16253975.0,10593227.0
Weighted Average Shs Out (Dil),24421288.0,16253975.0,10593227.0
Dividend per Share,0.0,0.0,0.0
Gross Margin,0.969953051643,0.978403755869,0.959723820483
EBITDA Margin,-18.4422535211,-25.1399061033,-28.003452244
EBIT Margin,-19.1877934272,-25.7258215962,-28.4062140391
Profit Margin,-21.7887323944,-24.2901408451,-28.7353279632
Free Cash Flow margin,-22.4901408451,-26.5107981221,-26.9953970081
EBITDA,-19641000.0,-26774000.0,-24335000.0
EBIT,-20435000.0,-27398000.0,-24685000.0
Consolidated Income,-23205000.0,-25869000.0,-24971000.0
Earnings Before Tax Margin,-21.7830985915,-23.9408450704,-28.3049482163
Net Profit Margin,-21.7887323944,-24.2901408451,-28.7353279632
