Date,2018-12-29,2017-12-30,2016-12-31,2016-01-02,2015-12-26,2014-12-27,2013-12-28,2012-12-29
Revenue,2101002000.0,1932575000.0,1626063000.0,1432297000.0,926254000.0,1432000000.0,1204231000.0,916201000.0
Revenue Growth,0.0871515982562126,0.188499461582977,0.135283394435651,0.546332863339861,-0.353174581005587,0.189140621691353,0.314374247572312,-0.0109
Cost of Revenue,1475779000.0,1281777000.0,1072070000.0,990645000.0,713346000.0,985000000.0,887160000.0,677052000.0
Gross Profit,625223000.0,650798000.0,553993000.0,441652000.0,212908000.0,322000000.0,317071000.0,239149000.0
R&D Expenses,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
SG&A Expense,253609000.0,242670000.0,243862000.0,177769000.0,127215000.0,155000000.0,150732000.0,142000000.0
Operating Expenses,253609000.0,242670000.0,243862000.0,177769000.0,,247112000.0,287126000.0,197493000.0
Operating Income,162466000.0,220877000.0,154034000.0,134641000.0,15415000.0,167000000.0,69959000.0,-47977000.0
Interest Expense,116548000.0,108549000.0,97536000.0,84629000.0,,86742000.0,56443000.0,58079000.0
Earnings before Tax,96077000.0,-158200000.0,40827000.0,-19194000.0,-56416000.0,-19000000.0,-15760000.0,-2647000.0
Income Tax Expense,59747000.0,-283977000.0,-5299000.0,-18263000.0,-3920000.0,18000000.0,-6983000.0,-2647000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,,2495000.0,-103679000.0,1919000.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,,-71000.0,528000.0,3546000.0
Net Income,33906000.0,121830000.0,36783000.0,27718000.0,,-8777000.0,0.0,-52496000.0
Preferred Dividends,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Net Income Com,33906000.0,121830000.0,36783000.0,27718000.0,-52496000.0,28000000.0,-8777000.0,0.0
EPS,0.3,1.12,0.53,0.73,,0.71,,
EPS Diluted,0.3,1.11,0.53,0.52,,0.31,,
Weighted Average Shs Out,111380175.0,108696438.0,68833986.0,38231689.0,,122000000.0,,
Weighted Average Shs Out (Dil),112316646.0,109490898.0,69317452.0,88336574.0,,,,
Dividend per Share,0.0,0.0,0.0,0.527527816508,,0.0,0.0,0.0
Gross Margin,0.297583248374,0.336751743141,0.340695901696,0.308352248172,0.2299,0.2249,0.2633,0.261
EBITDA Margin,0.176695690913,0.214213678641,0.193514642422,0.181289215854,,0.138,0.145,0.08
EBIT Margin,0.0773278654661,0.114291554015,0.0947281870383,0.0940035481468,,0.0589,0.0587,0.0018
Profit Margin,0.0161380141475,0.0630402442337,0.0226208947624,0.0193521315761,,-0.007,0.0,-0.057
Free Cash Flow margin,-0.00538647749978,0.0507286909952,0.0561970846148,0.00646025230801,,0.0137,0.018,0.0277
EBITDA,371238000.0,413984000.0,314667000.0,259660000.0,,166445000.0,132979000.0,73842000.0
EBIT,162466000.0,220877000.0,154034000.0,134641000.0,,70982000.0,53796000.0,1663000.0
Consolidated Income,33906000.0,121830000.0,36783000.0,27718000.0,,-6282000.0,-103679000.0,-50577000.0
Earnings Before Tax Margin,0.0457291330518,-0.0818596949666,0.0251078832739,-0.0134008519183,-0.0609,-0.0133,-0.0131,-0.0029
Net Profit Margin,0.0161380141475,0.0630402442337,0.0226208947624,0.0193521315761,,-0.0073,0.0,-0.0567
