Date,2019-09-27,2018-09-28,2017-09-29,2016-09-30,2015-10-02,2014-10-03,2013-09-27,2012-09-28,2011-09-30,2010-10-01,2009-10-02
Depreciation & Amortization,371600000.0,299200000.0,254800000.0,247800000.0,195800000.0,122700000.0,103400000.0,102754000.0,77964000.0,0.0,50531000.0
Stock-based compensation,80100000.0,107800000.0,88500000.0,78000000.0,99800000.0,86000000.0,71700000.0,72172000.0,58338000.0,0.0,23466000.0
Operating Cash Flow,1367400000.0,1260600000.0,1471300000.0,1095700000.0,992800000.0,772400000.0,499700000.0,285239000.0,365818000.0,0.0,218805000.0
Capital Expenditure,398400000.0,422300000.0,303300000.0,189300000.0,430100000.0,208600000.0,123800000.0,94129000.0,100660000.0,0.0,-39172000.0
Acquisitions and disposals,-0.0,-404000000.0,-13700000.0,-55600000.0,-24600000.0,-148500000.0,-0.0,-229628000.0,-249284000.0,-0.0,-10356000.0
Investment purchases and sales,-571100000.0,-1075000000.0,-429100000.0,-525600000.0,-237300000.0,-165700000.0,-184100000.0,8495000.0,-70043000.0,0.0,0.0
Investing Cash flow,-336900000.0,-1150400000.0,-325900000.0,-250900000.0,-454700000.0,-357100000.0,-123000000.0,-302857000.0,-349944000.0,0.0,-49528000.0
Issuance (repayment) of debt,-0.0,-0.0,-5500000.0,-0.0,-0.0,-0.0,-0.0,-48047000.0,-0.0,-0.0,-51107000.0
Issuance (buybacks) of shares,-637900000.0,-759500000.0,-432300000.0,-525600000.0,-237300000.0,-165700000.0,-184900000.0,-12405000.0,-70043000.0,0.0,36279000.0
Dividend payments,-273900000.0,-243200000.0,-214200000.0,-200800000.0,-124000000.0,-41.7,-0.0,-0.0,-0.0,-0.0,0.0
Financing Cash Flow,-912500000.0,-993700000.0,-612400000.0,-804600000.0,-300300000.0,-120600000.0,-172700000.0,-86176000.0,-59044000.0,0.0,-30160000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,118000000.0,-883500000.0,533000000.0,40200000.0,237800000.0,294700000.0,204000000.0,-103794000.0,-43170000.0,0.0,139117000.0
Free Cash Flow,969000000.0,838300000.0,1168000000.0,906400000.0,562700000.0,563800000.0,375900000.0,191110000.0,265158000.0,0.0,179633000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1211
