Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2014-03-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,1.70756e+11,1.60546e+11,1.63786e+11,1.46801e+11,1.32447e+11,0.0,1.28752e+11,1.27434e+11,1.26723e+11,124280000000.0,122513000000.0
Revenue Growth,0.0635954804230563,-0.0197819105418045,0.115700846724477,0.108375425641955,0.0,-1,0.0103426087229468,0.00561066262635828,0.0196572256195687,0.0144229591961669,-0.0075
Cost of Revenue,1.07895e+11,1.0468e+11,1.03092e+11,1.22016e+11,81004000000.0,0.0,51464000000.0,55215000000.0,57374000000.0,50257000000.0,50639000000.0
Gross Profit,62861000000.0,55866000000.0,60694000000.0,24785000000.0,51443000000.0,0.0,77288000000.0,72219000000.0,69349000000.0,74023000000.0,71874000000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,73530000000.0,69834000000.0,72694000000.0,0.0,79394000000.0,0.0,56828000000.0,82158000000.0,77688000000.0,34986000000.0,31359000000.0
Operating Expenses,36765000000.0,34917000000.0,36347000000.0,0.0,39697000000.0,0.0,98273000000.0,1.14437e+11,1.17505e+11,54450000000.0,50874000000.0
Operating Income,26096000000.0,20949000000.0,24347000000.0,24785000000.0,11746000000.0,0.0,30479000000.0,12997000000.0,9218000000.0,19573000000.0,21000000000.0
Interest Expense,4920000000.0,-14708000000.0,6479000000.0,7005000000.0,3442000000.0,0.0,9224000000.0,2900000000.0,2532000000.0,2994000000.0,3368000000.0
Earnings before Tax,24290000000.0,14742000000.0,19082000000.0,20350000000.0,9666000000.0,0.0,27473000000.0,10164000000.0,6476000000.0,18702000000.0,18229000000.0
Income Tax Expense,4920000000.0,-14708000000.0,6479000000.0,7005000000.0,3442000000.0,0.0,9224000000.0,2900000000.0,2532000000.0,-1162000000.0,6091000000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315000000.0,309000000.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-779000000.0,-20000000.0
Net Income,19370000000.0,29450000000.0,12603000000.0,13345000000.0,6224000000.0,0.0,18249000000.0,7264000000.0,3944000000.0,19864000000.0,12138000000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,19370000000.0,29450000000.0,12603000000.0,13345000000.0,6224000000.0,0.0,18249000000.0,7264000000.0,3944000000.0,19864000000.0,12138000000.0
EPS,2.85,4.77,2.1,2.37,1.19,0.0,3.39,1.25,0.66,3.36,2.06
EPS Diluted,2.85,4.76,2.1,2.37,1.19,0.0,3.39,1.25,0.66,3.35,2.05
Weighted Average Shs Out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5910000000.0,5901000000.0
Weighted Average Shs Out (Dil),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5910000000.0,5901000000.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,1.64
Gross Margin,0.368133477008,0.347975035192,0.370568913094,0.168833999768,0.388404418371,0.0,0.600285820803,0.566716888742,0.547248723594,0.5956,0.5867
EBITDA Margin,0.341411136358,0.282386356558,0.306460869671,0.318805730206,0.226649150226,0.0,0.379597986827,0.244361787278,0.217758417967,0.331,0.336
EBIT Margin,0.152826255007,0.130485966639,0.148651288877,0.168833999768,0.0886845304159,0.0,0.236726419784,0.101990049751,0.0727413334596,0.1746,0.1763
Profit Margin,0.113436716719,0.183436522866,0.0769479686909,0.090905375304,0.0469923818584,0.0,0.141737604076,0.0570020559662,0.0311230005603,0.16,0.099
Free Cash Flow margin,0.133781536227,0.115256686557,0.108849352203,0.113500589233,0.0765513752671,0.0,0.107586678265,0.154676146083,0.114722662816,0.1263,0.1457
EBITDA,58298000000.0,45336000000.0,50194000000.0,46801000000.0,30019000000.0,0.0,48874000000.0,31140000000.0,27595000000.0,41075000000.0,41112000000.0
EBIT,26096000000.0,20949000000.0,24347000000.0,24785000000.0,11746000000.0,0.0,30479000000.0,12997000000.0,9218000000.0,21696000000.0,21597000000.0
Consolidated Income,19370000000.0,29450000000.0,12603000000.0,13345000000.0,6224000000.0,0.0,18249000000.0,7264000000.0,3944000000.0,20179000000.0,12447000000.0
Earnings Before Tax Margin,0.142249759891,0.0918241500878,0.116505684247,0.138623033903,0.0729801354504,0.0,0.213379209643,0.0797589340364,0.0511035881411,0.1505,0.1488
Net Profit Margin,0.113436716719,0.183436522866,0.0769479686909,0.090905375304,0.0469923818584,0.0,0.141737604076,0.0570020559662,0.0311230005603,0.1598,0.0991
