Date,2019-01-01,2018-01-02,2017-01-03,2015-12-29,2014-12-31,2013-12-31
Revenue,505490000.0,471456000.0,452083000.0,0.0,0.0,370988000.0
Revenue Growth,0.0721891332383086,0.0428527504905073,0.0,0.0,-1,
Cost of Revenue,471457000.0,430209000.0,408783000.0,0.0,0.0,182697000.0
Gross Profit,34033000.0,41247000.0,43300000.0,0.0,0.0,188291000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,
SG&A Expense,43773000.0,38154000.0,37220000.0,0.0,861678.0,131900000.0
Operating Expenses,43773000.0,38154000.0,37220000.0,0.0,861678.0,154926000.0
Operating Income,34033000.0,41247000.0,43300000.0,0.0,-1397896.0,33365000.0
Interest Expense,9075000.0,7200000.0,6327000.0,0.0,0.0,35613000.0
Earnings before Tax,25618000.0,34047000.0,36242000.0,0.0,-1515896.0,-6459000.0
Income Tax Expense,6659000.0,-15824000.0,15329000.0,0.0,8973.0,80000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,
Net Income,18959000.0,49871000.0,20913000.0,0.0,-1524869.0,
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,
Net Income Com,18959000.0,49871000.0,20913000.0,0.0,-1524869.0,-6539000.0
EPS,0.5,1.29,0.54,0.0,-0.32,-1.67
EPS Diluted,0.49,1.25,0.53,0.0,-0.32,-1.67
Weighted Average Shs Out,38106057.0,38689508.0,38725541.0,0.0,4752646.0,18750000.0
Weighted Average Shs Out (Dil),38683959.0,39949907.0,39274649.0,0.0,4752646.0,
Dividend per Share,0.0,0.0,0.0,0.0,0.0,
Gross Margin,0.0673267522602,0.087488546121,0.0957788724637,0.0,0.0,0.5075
EBITDA Margin,0.117717462264,0.136150563361,0.146464255458,0.0,0.0,
EBIT Margin,0.0673267522602,0.087488546121,0.0957788724637,0.0,0.0,0.0786
Profit Margin,0.0375061821203,0.105780815177,0.0462592046151,0.0,0.0,
Free Cash Flow margin,0.0273002433283,0.0151891162696,0.0258647195316,0.0,0.0,
EBITDA,59505000.0,64189000.0,66214000.0,0.0,-1397896.0,
EBIT,34033000.0,41247000.0,43300000.0,0.0,-1397896.0,29154000.0
Consolidated Income,18959000.0,49871000.0,20913000.0,0.0,-1524869.0,
Earnings Before Tax Margin,0.0506795386655,0.0722167073916,0.0801666950538,0.0,0.0,-0.0174
Net Profit Margin,0.0375061821203,0.105780815177,0.0462592046151,0.0,0.0,
