Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,883000000.0,0.0,0.0,0.0,838174000.0,1020540000.0,813054000.0,784625000.0,771481000.0,744247000.0
Stock-based compensation,54000000.0,0.0,0.0,0.0,35793000.0,30338000.0,41871000.0,36837000.0,35128000.0,32486000.0
Operating Cash Flow,1017000000.0,0.0,0.0,0.0,394812000.0,494610000.0,1105172000.0,1255711000.0,1121945000.0,1097354000.0
Capital Expenditure,776000000.0,0.0,0.0,0.0,799496000.0,883797000.0,995517000.0,971759000.0,755032000.0,-657817000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-29276000.0
Investment purchases and sales,-17000000.0,0.0,0.0,0.0,-39096000.0,-9692000.0,-140026000.0,-202420000.0,-561803000.0,-85570000.0
Investing Cash flow,-680000000.0,0.0,900000000.0,984643000.0,-909744000.0,-260653000.0,-998069000.0,-866089000.0,-1223848000.0,-768098000.0
Issuance (repayment) of debt,-20000000.0,-0.0,-0.0,-0.0,-0.0,-1581000.0,-2566000.0,-614639000.0,-220249000.0,-153157000.0
Issuance (buybacks) of shares,0.0,0.0,-900000000.0,-984643000.0,-39096000.0,-9692000.0,-20026000.0,-21500000.0,-68053000.0,-177717000.0
Dividend payments,-6000000.0,-0.0,-0.0,-0.0,-0.0,-55200000.0,-53165000.0,-48670000.0,-47202000.0,-46798000.0
Financing Cash Flow,-32000000.0,0.0,0.0,0.0,156819000.0,-144424000.0,70103000.0,-168030000.0,-200955000.0,-427465000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,305000000.0,0.0,900000000.0,984643000.0,-358113000.0,89533000.0,177206000.0,221592000.0,-302858000.0,-98209000.0
Free Cash Flow,241000000.0,0.0,0.0,0.0,-404684000.0,-389187000.0,109655000.0,283952000.0,366913000.0,439537000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1969
