Date,2018-11-30,2017-11-30,2016-11-30,2015-11-30,2014-11-30,2013-11-30,2012-11-30,2011-11-30,2010-11-30
Depreciation & Amortization,160000.0,107000.0,174000.0,355000.0,750000.0,1033000.0,769000.0,1257000.0,1556000.0
Stock-based compensation,1441000.0,705000.0,615000.0,831000.0,887000.0,8136000.0,9727000.0,208000.0,107000.0
Operating Cash Flow,-22070000.0,-15411000.0,-8692000.0,-8435000.0,-8639000.0,-15218000.0,-19886000.0,-9671000.0,-1442000.0
Capital Expenditure,7000.0,300000.0,122000.0,-41000.0,-18000.0,-233000.0,-1634000.0,-5411000.0,-76000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,19399000.0,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,12725000.0,13544000.0,-78000.0,19358000.0,-18000.0,-233000.0,-1634000.0,-5411000.0,-76000.0
Issuance (repayment) of debt,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-24000000.0,0.0
Issuance (buybacks) of shares,-24796000.0,-5391000.0,-7340000.0,0.0,7247000.0,20000.0,0.0,0.0,0.0
Dividend payments,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,26945000.0,-90000.0,-29000.0,142000.0,7247000.0,-309000.0,43763000.0,15083000.0,1518000.0
Effect of forex changes on cash,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,17600000.0,-1957000.0,-8799000.0,11065000.0,-1410000.0,-15760000.0,22243000.0,1000.0,0.0
Free Cash Flow,-22077000.0,-15711000.0,-8814000.0,-8476000.0,-8657000.0,-15451000.0,-21520000.0,-15082000.0,-1518000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.4508,0.153,0.0605,0.2108,0.2108,0.2108
