Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,14584000000.0,16611000000.0,14423000000.0,19334000000.0,20859000000.0,13358000000.0,13466000000.0,8628000000.0,9117000000.0,7107000000.0
Stock-based compensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Cash Flow,24703000000.0,22319000000.0,16521000000.0,19946000000.0,25608000000.0,28513000000.0,28858000000.0,19536000000.0,18493000000.0,12360000000.0
Capital Expenditure,-13364000000.0,-12731000000.0,-16644000000.0,-22509000000.0,-22878000000.0,-27982000000.0,-23752000000.0,-16511000000.0,-12278000000.0,-11711000000.0
Acquisitions and disposals,-3367000000.0,2109000000.0,-853000000.0,2380000000.0,-335000000.0,2633000000.0,207000000.0,-279000000.0,-552000000.0,-160000000.0
Investment purchases and sales,1785000000.0,-1010000000.0,-156000000.0,-320000000.0,-1106000000.0,-2683000000.0,1613000000.0,827000000.0,873000000.0,1603000000.0
Investing Cash flow,-14946000000.0,-11632000000.0,-17653000000.0,-20449000000.0,-24319000000.0,-28032000000.0,-21932000000.0,-15963000000.0,-11957000000.0,-10268000000.0
Issuance (repayment) of debt,-3666000000.0,-5174000000.0,4894000000.0,9185000000.0,13412000000.0,2065000000.0,3240000000.0,199000000.0,3058000000.0,2398000000.0
Issuance (buybacks) of shares,-3830000000.0,519000000.0,100000000.0,-237000000.0,131000000.0,247000000.0,-47000000.0,481000000.0,90000000.0,63000000.0
Dividend payments,-4913000000.0,-2643000000.0,-2661000000.0,0.0,-7308000000.0,-7128000000.0,-6660000000.0,-5140000000.0,-5098000000.0,-5086000000.0
Financing Cash Flow,-13925000000.0,-5540000000.0,3532000000.0,1060000000.0,5909000000.0,-1521000000.0,-4817000000.0,-4309000000.0,-3348000000.0,-2868000000.0
Effect of forex changes on cash,-1110000000.0,3441000000.0,-1072000000.0,-2469000000.0,-2217000000.0,831000000.0,153000000.0,272000000.0,-361000000.0,117000000.0
Net cash flow / Change in cash,-4168000000.0,5147000000.0,2400000000.0,557000000.0,7198000000.0,-1040000000.0,2109000000.0,-736000000.0,3188000000.0,-776000000.0
Free Cash Flow,11339000000.0,9588000000.0,-123000000.0,-2563000000.0,2730000000.0,531000000.0,5106000000.0,3025000000.0,6215000000.0,649000000.0
Net Cash/Marketcap,-0.0867,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518
