Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,962000.0,-510000.0,-948000.0,-932000.0,4776000.0,5017000.0,5032000.0,5084000.0,4731000.0,4502000.0
Stock-based compensation,173000.0,150000.0,224000.0,204000.0,325000.0,378000.0,405000.0,287000.0,176000.0,214000.0
Operating Cash Flow,67640000.0,61690000.0,54894000.0,60008000.0,49537000.0,62959000.0,58629000.0,61318000.0,48479000.0,142074000.0
Capital Expenditure,3646000.0,3613000.0,2055000.0,3744000.0,8497000.0,6381000.0,4265000.0,5213000.0,-3609000.0,-7091000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
Investment purchases and sales,44886000.0,392000.0,1248000.0,-147000.0,0.0,0.0,0.0,0.0,-7175000.0,-387800000.0
Investing Cash flow,-173820000.0,-144884000.0,-157791000.0,-61267000.0,-29105000.0,-169345000.0,-106385000.0,-226604000.0,690000.0,-390392000.0
Issuance (repayment) of debt,81098000.0,-33585000.0,-18180000.0,-2110000.0,15046000.0,-44316000.0,-12283000.0,-22948000.0,16887000.0,-1864000.0
Issuance (buybacks) of shares,-718000.0,-4608000.0,-701000.0,-147000.0,-671448000.0,-583044000.0,-544016000.0,-465365000.0,2833000.0,3909000.0
Dividend payments,-25569000.0,-25197000.0,-25064000.0,-24950000.0,-24851000.0,-24724000.0,-24587000.0,-21333000.0,-19460000.0,-26326000.0
Financing Cash Flow,-2851000.0,-11340000.0,92015000.0,47967000.0,67972000.0,145414000.0,58829000.0,253979000.0,249187000.0,144608000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-109031000.0,-94534000.0,-10882000.0,46708000.0,88404000.0,39028000.0,11073000.0,88693000.0,298356000.0,-103710000.0
Free Cash Flow,63994000.0,58077000.0,52839000.0,56264000.0,41040000.0,56578000.0,54364000.0,56105000.0,44870000.0,134983000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6685,0.6685
