Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,33602000.0,31312000.0,26967000.0,20452000.0,18244000.0,18363000.0,17613000.0,0.0,8059000.0,6801000.0
Stock-based compensation,8820000.0,11943000.0,10324000.0,7913000.0,6444000.0,5342000.0,4575000.0,0.0,4907000.0,4470000.0
Operating Cash Flow,12855000.0,13788000.0,49543000.0,26094000.0,63473000.0,30694000.0,43543000.0,0.0,38139000.0,23987000.0
Capital Expenditure,20142000.0,40384000.0,40651000.0,32989000.0,16566000.0,10355000.0,10463000.0,0.0,-8440000.0,-6171000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-12265000.0,-0.0,-0.0,-0.0,-0.0,-74271000.0,-9502000.0
Investment purchases and sales,-13824000.0,-39085000.0,-12647000.0,-89395000.0,-16168000.0,-3607000.0,-3451000.0,0.0,49246000.0,-49246000.0
Investing Cash flow,23575000.0,-51227000.0,-42515000.0,-47649000.0,-18419000.0,-9151000.0,-10744000.0,0.0,-34843000.0,-66091000.0
Issuance (repayment) of debt,-104500000.0,-0.0,-0.0,-0.0,-0.0,-19500000.0,-47200000.0,-0.0,31166000.0,0.0
Issuance (buybacks) of shares,-13824000.0,-39085000.0,-12647000.0,-89395000.0,-16168000.0,-3607000.0,-3451000.0,0.0,-8181000.0,-4472000.0
Dividend payments,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
Financing Cash Flow,-53318000.0,50370000.0,-4446000.0,-35142000.0,-8046000.0,10038000.0,-17578000.0,0.0,23275000.0,-4222000.0
Effect of forex changes on cash,2756000.0,-1104000.0,-4937000.0,-2858000.0,-661000.0,2523000.0,859000.0,0.0,-1338000.0,104000.0
Net cash flow / Change in cash,-14132000.0,11827000.0,-2355000.0,-59555000.0,36347000.0,31581000.0,15221000.0,0.0,25233000.0,-46222000.0
Free Cash Flow,-7287000.0,-26596000.0,8892000.0,-6895000.0,46907000.0,20339000.0,33080000.0,0.0,29699000.0,17816000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507,0.2461
