Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,18745000000.0,19893000000.0,22308000000.0,18048000000.0,17297000000.0,17182000000.0,15888000000.0,15583000000.0,0.0,11917000000.0
Stock-based compensation,774000000.0,856000000.0,880000000.0,855000000.0,831000000.0,854000000.0,854000000.0,793000000.0,0.0,0.0
Operating Cash Flow,36014000000.0,30066000000.0,22082000000.0,30344000000.0,45116000000.0,44914000000.0,56170000000.0,55345000000.0,0.0,28438000000.0
Capital Expenditure,19574000000.0,15402000000.0,16163000000.0,26490000000.0,32952000000.0,33669000000.0,34271000000.0,30975000000.0,26871000000.0,-22491000000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1207000000.0
Investment purchases and sales,-2607000000.0,-6254000000.0,-2394000000.0,-4646000000.0,-14814000000.0,-20433000000.0,-22040000000.0,-25721000000.0,-1099000000.0,555000000.0
Investing Cash flow,-16446000000.0,-15730000000.0,-12403000000.0,-23824000000.0,-26975000000.0,-34201000000.0,-25601000000.0,-22165000000.0,-24204000000.0,-22419000000.0
Issuance (repayment) of debt,-4533000000.0,-7205000000.0,7145000000.0,-26000000.0,-69000000.0,-13000000.0,-147000000.0,-266000000.0,-6224000000.0,-153000000.0
Issuance (buybacks) of shares,-626000000.0,-747000000.0,-977000000.0,-4039000000.0,-13183000000.0,-15998000000.0,-21068000000.0,-22055000000.0,-13093000000.0,-18951000000.0
Dividend payments,-13798000000.0,-13001000000.0,-12453000000.0,-12090000000.0,-11568000000.0,-10875000000.0,-10092000000.0,-9020000000.0,-8948000000.0,-8023000000.0
Financing Cash Flow,-19446000000.0,-15130000000.0,-9293000000.0,-7037000000.0,-17888000000.0,-15476000000.0,-33868000000.0,-28256000000.0,-26924000000.0,-27283000000.0
Effect of forex changes on cash,-257000000.0,314000000.0,-434000000.0,-394000000.0,-281000000.0,-175000000.0,217000000.0,-85000000.0,-153000000.0,520000000.0
Net cash flow / Change in cash,-135000000.0,-480000000.0,-48000000.0,-911000000.0,-28000000.0,-4938000000.0,-3082000000.0,4839000000.0,-2868000000.0,-20744000000.0
Free Cash Flow,16440000000.0,14664000000.0,5919000000.0,3854000000.0,12164000000.0,11245000000.0,21899000000.0,24370000000.0,-26871000000.0,5947000000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039
