Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Depreciation & Amortization,6731000.0,6171000.0,5461000.0,5261000.0,3155000.0,2127000.0,1905000.0
Stock-based compensation,1453000.0,654000.0,395000.0,455000.0,534000.0,848000.0,629000.0
Operating Cash Flow,-12352000.0,-2773000.0,-1827000.0,1367000.0,1902000.0,4071000.0,3646000.0
Capital Expenditure,1337000.0,930000.0,1397000.0,3198000.0,3037000.0,1199000.0,-529000.0
Acquisitions and disposals,-50000.0,-52000.0,-48000.0,-32000.0,-2100000.0,-0.0,0.0
Investment purchases and sales,0.0,0.0,-36000.0,-426000.0,-344000.0,-224000.0,0.0
Investing Cash flow,-1387000.0,-982000.0,-1445000.0,-3281000.0,-5247000.0,-1145000.0,-529000.0
Issuance (repayment) of debt,-1461000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1435000.0
Issuance (buybacks) of shares,83000.0,0.0,-36000.0,-426000.0,-344000.0,-224000.0,687000.0
Dividend payments,-127000.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
Financing Cash Flow,15709000.0,3622000.0,158000.0,2792000.0,2022000.0,-1589000.0,-1472000.0
Effect of forex changes on cash,236000.0,-63000.0,108000.0,-51000.0,-110000.0,-42000.0,-10000.0
Net cash flow / Change in cash,2206000.0,-196000.0,-3006000.0,878000.0,-1323000.0,1295000.0,1635000.0
Free Cash Flow,-13689000.0,-3703000.0,-3224000.0,-1831000.0,-1135000.0,2872000.0,3117000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,-0.0155
